"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"659","11277300",37.967699,-119.917403,"USC00041697","CHERRY VALLEY DAM",37.9747,-119.9161,0.786810005602109
"660","11278000",37.969088,-119.882124,"USC00044679","LAKE ELEANOR",37.9667,-119.8833,0.284842900511903
"661","11278300",37.894368,-119.962682,"USC00045400","MATHER",37.885,-119.8561,9.41087186339682
"662","11289650",37.666321,-120.442139,"USC00042920","EXCHEQUER DAM",37.585,-120.2672,17.864167017947
"663","11302000",37.851594,-120.637982,"USC00044590","KNIGHTS FERRY 2 SE",37.8,-120.65,5.83328777651214
"664","11335000",38.500186,-121.045221,"USR0000CBLT","BEN BOLT CALIFORNIA",38.5908,-120.9336,13.9912360586917
"665","11355500",40.68655,-121.424699,"USR0000CLDR","LADDER BUTTE CALIFORNIA",40.8072,-121.2967,17.2118831938018
"666","11381500",40.054602,-122.024154,"USR0000CCRN","CORNING CALIFORNIA",39.9389,-122.1697,17.8671906292543
"667","11383500",40.014047,-121.948318,"USR0000CCRN","CORNING CALIFORNIA",39.9389,-122.1697,20.6317096250106
"668","11390000",39.725995,-121.708864,"USR0000CCHC","CHICO CALIFORNIA",39.7119,-121.7789,6.19180985901367
"669","11446500",38.63546,-121.227726,"USC00043111","FOLSOM",38.6833,-121.1833,6.57098679545684
"670","11458000",38.368246,-122.303309,"USC00049859","YOUNTVILLE",38.395,-122.3567,5.52341617985684
"671","11458433",38.4188,-122.562761,"USC00047643","SAINT HELENA",38.5067,-122.4714,12.6018363195176
"672","11458500",38.323247,-122.494426,"USC00048351","SONOMA",38.2994,-122.4622,3.86484212700245
"673","11462500",39.026563,-123.130559,"USR0000CHLD","HOPLAND CALIFORNIA",39.0308,-123.0806,4.34108225901154
"674","11463000",38.879348,-123.053612,"USC00041837","CLOVERDALE",38.8167,-123.0167,7.66454291021009
"675","11463980",38.632965,-122.855549,"USC00043875","HEALDSBURG",38.6214,-122.8581,1.30492298704674
"676","11466800",38.494078,-122.853326,"USW00023213","SANTA ROSA SONOMA CO AP",38.5039,-122.8103,3.90029681132165
"677","11467000",38.508523,-122.927774,"USW00023213","SANTA ROSA SONOMA CO AP",38.5039,-122.8103,10.2348642970219
"678","11475560",39.7296,-123.643907,"USC00042218","CUMMINGS",39.8333,-123.6333,11.5664826711685
"679","11475610",39.671545,-123.49835,"USR0000CLAY","LAYTONVILLE CALIFORNIA",39.7022,-123.485,3.59500702017434
"680","11502500",42.564859,-121.879459,"USR0000OCHI","CHILOQUIN OREGON",42.5769,-121.8936,1.77019156705392
"681","11507500",42.223478,-121.794171,"USC00354506","KLAMATH FALLS 2 SSW",42.2008,-121.7814,2.73223905247643
"682","11509500",42.133199,-121.962231,"USC00354403","KENO",42.0944,-121.9022,6.56751573782684
