STAID_edt,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,locname,NOAA_ID,NEAR_Y,NEAR_X,NEAR_DIST,NIDID,LONGITUDE,LATITUDE,RIVER,DISTANCE,PRIVATE_DA,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPL,YEAR_MODIF,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL,HYDRAULIC_,NID_HEIGHT,MAX_DISCHA,MAX_STORAG,NORMAL_STO,NID_STORAG,SURFACE_AR,DRAINAGE_A,HAZARD,EAP,VOLUME,Distance_1,PstSplnCnt,pstRcrdCnt,pstP90,pstP90Cnt,pstP50,pstP10,pstP10Cnt,pstTmax,pstTmin,pstTmean,pstTmaxT,pstTminT,pstCoolRt,pstWarmRt,pstCffcntV,pstP25cnt,pstP75cnt,NOAA_TmaxT,NOAA_TminT,Lag_TmaxT,Lag_TminT,NOAARcrdCn,NOAASplnCn,Ref,Clim_Reg
STAID05412500,3858.2,42.739988,-91.261799,5412500,USC00133517,42.7858,-91.0958,14.47729759,IA01863,-91.25009918,42.6609993,BROWNFIELD CREEK,0,N,RE,HZ,SZ,R,1978, ,600,50,0,0,50,0,325,163,325,12,1,L,NR,0,8821.607766,366,8,22.57507911,0.103825137,11.45969171,0.344304316,0.158469945,23.9522459,-0.666365946,11.45969171,198,365,-0.168300144,0.171555187,0.756860052,0.344262295,0.344262295,NA,NA,NA,NA,NA,365,1,Midwest
STAID05427850,294.8,43.15083,-89.40206,5427850,USW00014837,43.1406,-89.3453,4.743338693,WI00621,-89.37025,43.09489,YAHARA RIVER,0, ,OT,X,U,NR,1849,1959O,100,16,16,5,16,1860,160000,132000,160000,9730,254,H,Y,0,6674.531098,366,13,24.13313448,0.147540984,11.95362143,-0.225891612,0,25.70709269,0.226214302,11.95362143,212,34,-0.200236603,0.184012712,0.795049816,0.363387978,0.341530055,200,3,12,31,12,366,0,Midwest
STAID05440700,19962.2,42.123081,-89.25594,5440700,USC00114770,42.1333,-89.1167,11.53882567,IL00704,-89.22906,42.07463,TRIB BLACK WALNUT CREEK,2,N,RE,X,U,R,1963, ,130,13,0,0,13,0,86,48,86,0,0,L,N,0,5773.762113,366,8,23.90195659,0.120218579,12.27453533,0.647114064,0.139344262,25.22956495,0.003244968,12.27453533,197,22,-0.171754073,0.185762698,0.739166476,0.357923497,0.352459016,NA,NA,NA,NA,NA,365,0,Ohio Valley
STAID05451210,580.5,42.314984,-93.152425,5451210,USC00132573,42.3653,-93.0972,7.204520141,IA03208,-93.15529633,42.30830002,TR- SOUTH FORK IOWA RIVER,8,N,RE,HZ,SZ,P,1999, ,558,30,0,0,30,0,71,20,71,4,0,L,NR,14400,775.6790336,365,6,22.55101569,0.150684932,11.09204702,-0.366921651,0,25.18324253,-0.161769393,11.09204702,210,355,-0.196106472,0.16690986,0.806116378,0.334246575,0.328767123,199,0,NA,NA,NA,366,1,Midwest
STAID05455100,521.8,41.606405,-91.615724,5455100,USW00014937,41.6328,-91.5431,6.712594042,IA02848,-91.57579803,41.63660049,TR- IOWA RIVER,1,N,RE,HK,SK,P,1994, ,545,25,0,0,25,0,95,43,95,6,0,H,NR,19600,4584.110255,366,4,23.08238541,0.136612022,11.75426509,0.426144773,0.150273224,25.24092777,0.125187194,11.75426509,199,38,-0.180482226,0.161551819,0.752014625,0.338797814,0.319672131,200,18,1,20,5,366,0,Midwest
STAID05465500,32364.8,41.178086,-91.182094,5465500,USC00138668,41.1806,-91.1897,0.695231416,IA02470,-91.13890076,41.17509842,TR- IOWA RIVER,10,N,RE,HZ,SZ,P,1989, ,400,30,0,0,30,0,72,41,72,5,0,L,NR,14600,3421.539319,366,8,25.61105283,0.090163934,13.1195811,0.628109375,0.139344262,27.33023856,0.058583373,13.1195811,204,34,-0.197365684,0.182570594,0.742946524,0.349726776,0.352459016,NA,NA,NA,NA,NA,NA,0,Midwest
STAID05481000,2123.1,42.432475,-93.805776,5481000,USC00138808,42.4322,-93.8061,0.040523056,IA00437,-93.79270172,42.4396019,TR-BOONE RIVER,24,N,RE,HEK,RSK,RS,1968, ,3100,44,0,0,44,0,2100,1310,2100,70,11,S,NR,139000,1283.625422,366,9,22.41754072,0.131147541,11.04108209,-0.335376543,0,25.19668608,-0.232419508,11.04108209,200,39,-0.183055561,0.174458348,0.804006144,0.355191257,0.336065574,NA,NA,NA,NA,NA,NA,0,Midwest
STAID05482000,16178.6,41.612489,-93.621051,5482000,USC00132208,41.5783,-93.6056,4.012899892,IA01286,-93.61849976,41.59159851,DES MOINES RIVER,0,N,PG,HCZ,SZ,R,1916, ,417,11,0,0,11,0,2731,1947,2731,355,6245,L,NR,0,2329.673855,366,7,25.22016172,0.12568306,13.2443299,1.268498092,0,27.07674356,1.304964396,13.2443299,204,6,-0.1930299,0.186022474,0.705569197,0.368852459,0.344262295,NA,NA,NA,NA,NA,365,0,Midwest
STAID05482500,4188,41.988039,-94.376913,5482500,USC00134228,42.0347,-94.4114,5.919342917,IA00405,-94.39849854,41.99150085,TR-NORTH RACCOON RIVER,0,N,RE,HZ,SZ,P,1968, ,188,26,0,0,26,0,40,27,40,3,0,L,NR,8150,1722.761536,366,8,23.94526597,0.12568306,12.04335924,0.141452499,0.106557377,26.57352206,-0.198677572,12.04335924,198,33,-0.188782961,0.17907506,0.771139264,0.346994536,0.338797814,199,0,1,33,16,366,0,Midwest
STAID05484000,2548.1,41.589432,-94.151346,5484000,USC00130070,41.6,-94.0167,11.25840718,IA02510,-94.16670227,41.56790161,TR- SOUTH RACCON RIVER,0,N,RE,HZ,SZ,P,1990, ,175,32,0,0,32,0,23,11,23,2,0,L,NR,6600,2677.274748,366,4,25.29689088,0.128415301,12.80771894,0.318547003,0.081967213,27.97179287,0.146284152,12.80771894,197,16,-0.195152803,0.193453292,0.760896822,0.360655738,0.338797814,NA,NA,NA,NA,NA,NA,0,Midwest
STAID05484500,8870.2,41.533878,-93.94995,5484500,USC00130070,41.6,-94.0167,9.213913774,IA03018,-93.95279694,41.51890183,TR- RACCOON RIVER,0,N,RE,HZ,SZ,P,1996, ,450,30,0,0,30,0,37,20,37,3,0,L,NR,16900,1678.962154,366,8,24.90494896,0.114754098,12.65679675,0.408644541,0.12295082,27.46478474,-0.060790905,12.65679675,199,20,-0.191953954,0.184923202,0.755110802,0.344262295,0.344262295,NA,NA,NA,NA,NA,NA,0,Midwest
STAID05527500,13289.2,41.346698,-88.186449,5527500,USC00111420,41.3978,-88.2819,9.784007464,IL50319,-88.151391,41.300576,KANKAKEE RIVER,0,N,PG,X,U,R,1920, ,1000,12,0,0,12,0,1200,0,1200,0,0,L,N,0,5818.22789,366,7,24.79330608,0.12568306,13.37729821,1.96129033,0.131147541,26.11050867,0.856239697,13.37729821,221,13,-0.195970528,0.151228462,0.665901151,0.360655738,0.355191257,213,20,8,7,13,366,0,Ohio Valley
STAID05595000,13439.8,38.329216,-89.879269,5595000,USC00117157,38.1853,-89.9283,16.5654849,IL50317,-89.86152,38.33664,TRIB KASKASKIA RIVER,10,N,RE,X,U,R,1990, ,1050,24,0,0,24,0,5600,1800,5600,0,0,L,N,0,1677.205456,366,5,27.49623611,0.095628415,15.79284993,4.08946376,0.139344262,29.07205242,2.122117577,15.79284993,199,13,-0.175828124,0.171300534,0.578249068,0.341530055,0.360655738,NA,NA,NA,NA,NA,NA,0,Ohio Valley
STAID06036805,103.1,44.45966,-110.82243,6036805,USC00486845,44.4569,-110.8328,0.878388748,WY01537,-110.7933,44.42083333,RUSTY DRAW TRIB. OF DEER CREEK,0,N,RE,HEK,SZ,IP,1978, ,1085,7,7,5,7,0,83,54,83,15,4,L,NR,8400,4835.02752,366,14,12.85749072,0.183060109,7.677888621,2.49828652,0.030054645,15.22941402,2.015399553,7.677888621,202,365,-0.094183049,0.068184707,0.526403181,0.327868852,0.265027322,202,0,NA,NA,NA,366,1,Northern Rockies
