"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","Flow","Flow_cd"
"1","USGS","12448998",2001-09-30,11.1,"A",17,"A"
"2","USGS","12448998",2001-10-01,11.4,"A",19,"A"
"3","USGS","12448998",2001-10-02,11,"A",20,"A"
"4","USGS","12448998",2001-10-03,10.5,"A",19,"A"
"5","USGS","12448998",2001-10-04,9.6,"A",18,"A"
"6","USGS","12448998",2001-10-05,8.8,"A",18,"A"
"7","USGS","12448998",2001-10-06,8.6,"A",23,"A"
"8","USGS","12448998",2001-10-07,8,"A",30,"A"
"9","USGS","12448998",2001-10-08,8.1,"A",35,"A"
"10","USGS","12448998",2001-10-09,7.6,"A",37,"A"
"11","USGS","12448998",2001-10-10,6.7,"A",38,"A"
"12","USGS","12448998",2001-10-11,7.2,"A",43,"A"
"13","USGS","12448998",2001-10-12,7.9,"A",40,"A"
"14","USGS","12448998",2001-10-13,8.6,"A",39,"A"
"15","USGS","12448998",2001-10-14,8.7,"A",40,"A"
"16","USGS","12448998",2001-10-15,7.2,"A",40,"A"
"17","USGS","12448998",2001-10-16,7.7,"A",40,"A"
"18","USGS","12448998",2001-10-17,6.9,"A",40,"A"
"19","USGS","12448998",2001-10-18,6.7,"A",39,"A"
"20","USGS","12448998",2001-10-19,7.3,"A",38,"A"
"21","USGS","12448998",2001-10-20,6.3,"A",38,"A"
"22","USGS","12448998",2001-10-21,6.3,"A",37,"A"
"23","USGS","12448998",2001-10-22,5.8,"A",39,"A"
"24","USGS","12448998",2001-10-23,6.7,"A",48,"A e"
"25","USGS","12448998",2001-10-24,5.8,"A",43,"A e"
"26","USGS","12448998",2001-10-25,6.6,"A",43,"A"
"27","USGS","12448998",2001-10-27,6.6,"A",40,"A"
"28","USGS","12448998",2001-10-28,4.6,"A",41,"A"
"29","USGS","12448998",2001-10-29,4.3,"A",40,"A"
"30","USGS","12448998",2001-10-30,5.6,"A",40,"A"
"31","USGS","12448998",2001-10-31,6.4,"A",42,"A"
"32","USGS","12448998",2001-11-01,5.8,"A",41,"A"
