"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","Flow","Flow_cd"
"1","USGS","03289000",2012-09-30,0,"A",25.9,"A"
"2","USGS","03289000",2013-06-27,19.7,"A",392,"A"
"3","USGS","03289000",2013-06-28,19.4,"A",92.6,"A"
"4","USGS","03289000",2013-06-29,19.3,"A",53.9,"A"
"5","USGS","03289000",2013-06-30,19.1,"A",116,"A"
"6","USGS","03289000",2013-07-01,18.7,"A",81.5,"A"
"7","USGS","03289000",2013-07-02,18.8,"A",103,"A"
"8","USGS","03289000",2013-07-03,19.2,"A",57.4,"A"
"9","USGS","03289000",2013-07-04,18.8,"A",186,"A"
"10","USGS","03289000",2013-07-05,18.4,"A",669,"A"
"11","USGS","03289000",2013-07-06,17.9,"A",591,"A"
"12","USGS","03289000",2013-07-07,17.6,"A",257,"A"
"13","USGS","03289000",2013-07-08,18.1,"A",146,"A"
"14","USGS","03289000",2013-07-09,19,"A",95.2,"A"
"15","USGS","03289000",2013-07-10,20.1,"A",155,"A"
"16","USGS","03289000",2013-07-11,19.1,"A",124,"A"
"17","USGS","03289000",2013-07-12,18.6,"A",76.6,"A"
"18","USGS","03289000",2013-07-13,18.7,"A",57,"A"
"19","USGS","03289000",2013-07-14,19.7,"A",45.2,"A"
"20","USGS","03289000",2013-07-15,20.8,"A",35.6,"A"
"21","USGS","03289000",2013-07-16,21.3,"A",29.2,"A"
"22","USGS","03289000",2013-07-17,22.2,"A",24.5,"A"
"23","USGS","03289000",2013-07-18,22.3,"A",38.4,"A"
"24","USGS","03289000",2013-07-19,22.9,"A",27.4,"A"
"25","USGS","03289000",2013-07-20,23.3,"A",19.5,"A"
"26","USGS","03289000",2013-07-21,23,"A",20.7,"A"
"27","USGS","03289000",2013-07-22,22.4,"A",72.1,"A"
"28","USGS","03289000",2013-07-23,21.8,"A",45.7,"A"
"29","USGS","03289000",2013-07-24,20.5,"A",174,"A"
"30","USGS","03289000",2013-07-25,19.3,"A",56.4,"A"
"31","USGS","03289000",2013-07-26,19.3,"A",37.9,"A"
"32","USGS","03289000",2013-07-27,19.5,"A",28.3,"A"
"33","USGS","03289000",2013-07-28,18.9,"A",22.9,"A"
"34","USGS","03289000",2013-07-29,18.5,"A",18.3,"A"
