"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","Flow","Flow_cd"
"35","USGS","03289000",2013-07-30,18.9,"A",15.2,"A"
"36","USGS","03289000",2013-07-31,19.2,"A",19,"A"
"37","USGS","03289000",2013-08-01,20,"A",15.3,"A"
"38","USGS","03289000",2013-08-02,19.9,"A",12.3,"A"
"39","USGS","03289000",2013-08-03,20.8,"A",10.2,"A"
"40","USGS","03289000",2013-08-04,21,"A",9,"A"
"41","USGS","03289000",2013-08-05,19.9,"A",7.9,"A"
"42","USGS","03289000",2013-08-06,20.7,"A",7.26,"A"
"43","USGS","03289000",2013-08-07,21.6,"A",9.37,"A"
"44","USGS","03289000",2013-08-08,22.4,"A",144,"A"
"45","USGS","03289000",2013-08-09,21.7,"A",75.8,"A"
"46","USGS","03289000",2013-08-10,21,"A",66.9,"A"
"47","USGS","03289000",2013-08-11,21.2,"A",52.7,"A"
"48","USGS","03289000",2013-08-12,21.1,"A",147,"A"
"49","USGS","03289000",2013-08-13,19.6,"A",144,"A"
"50","USGS","03289000",2013-08-14,18.2,"A",88.9,"A"
"51","USGS","03289000",2013-08-15,17.5,"A",55.1,"A"
"52","USGS","03289000",2013-08-16,18.2,"A",38.7,"A"
"53","USGS","03289000",2013-08-17,19.1,"A",30.1,"A"
"54","USGS","03289000",2013-08-18,19.3,"A",25,"A"
"55","USGS","03289000",2013-08-19,20.1,"A",24.4,"A"
"56","USGS","03289000",2013-08-20,20.7,"A",18.6,"A"
"57","USGS","03289000",2013-08-21,21.1,"A",14.7,"A"
"58","USGS","03289000",2013-08-22,21.6,"A",12.7,"A"
"59","USGS","03289000",2013-08-23,22.2,"A",10.8,"A"
"60","USGS","03289000",2013-08-24,21.5,"A",9.35,"A"
"61","USGS","03289000",2013-08-25,20.8,"A",8.13,"A"
"62","USGS","03289000",2013-08-26,21.1,"A",7.28,"A"
"63","USGS","03289000",2013-08-27,22.3,"A",6.68,"A"
"64","USGS","03289000",2013-08-28,23.4,"A",6.14,"A"
"65","USGS","03289000",2013-08-29,23.6,"A",6.41,"A"
"66","USGS","03289000",2013-08-30,23,"A",5.42,"A"
"67","USGS","03289000",2013-08-31,22.4,"A",231,"A"
"68","USGS","03289000",2013-09-01,20.8,"A",101,"A"
"69","USGS","03289000",2013-09-02,20.8,"A",50.3,"A"
"70","USGS","03289000",2013-09-03,20.3,"A",31.6,"A"
"71","USGS","03289000",2013-09-04,18.9,"A",23.3,"A"
"72","USGS","03289000",2013-09-05,18.9,"A",18.5,"A"
"73","USGS","03289000",2013-09-06,19.6,"A",15,"A"
"74","USGS","03289000",2013-09-07,19.5,"A",12.3,"A"
"75","USGS","03289000",2013-09-08,20.7,"A",10.6,"A"
"76","USGS","03289000",2013-09-09,21.5,"A",9.33,"A"
"77","USGS","03289000",2013-09-10,22.5,"A",8.24,"A"
"78","USGS","03289000",2013-09-11,23,"A",7.25,"A"
"79","USGS","03289000",2013-09-12,22.6,"A",9.67,"A"
"80","USGS","03289000",2013-09-13,20.4,"A",11,"A"
"81","USGS","03289000",2013-09-14,17,"A",6.96,"A"
"82","USGS","03289000",2013-09-15,16.2,"A",6.12,"A"
"83","USGS","03289000",2013-09-16,17.5,"A",6.28,"A"
"84","USGS","03289000",2013-09-17,17.5,"A",5.89,"A"
"85","USGS","03289000",2013-09-18,17.9,"A",5.12,"A"
"86","USGS","03289000",2013-09-19,18.9,"A",5.01,"A"
"87","USGS","03289000",2013-09-20,20.2,"A",4.71,"A"
"88","USGS","03289000",2013-09-21,20.1,"A",51.6,"A"
"89","USGS","03289000",2013-09-22,17.1,"A",21.1,"A"
"90","USGS","03289000",2013-09-23,15.9,"A",12.6,"A"
"91","USGS","03289000",2013-09-24,16.2,"A",9.81,"A"
"92","USGS","03289000",2013-09-25,17.9,"A",8.14,"A"
"93","USGS","03289000",2013-09-26,18,"A",7,"A"
"94","USGS","03289000",2013-09-27,17.3,"A",6.12,"A"
"95","USGS","03289000",2013-09-28,16.9,"A",5.4,"A"
"96","USGS","03289000",2013-09-29,17,"A",4.81,"A"
"97","USGS","03289000",2017-07-07,21.2,"P",58,"A"
"98","USGS","03289000",2017-07-08,20.8,"P",96.7,"A"
"99","USGS","03289000",2017-07-09,19.8,"P",47.2,"A"
"100","USGS","03289000",2017-07-10,20.6,"P",33.4,"A"
"101","USGS","03289000",2017-07-12,22.2,"P",20.6,"A"
"102","USGS","03289000",2017-07-13,23.7,"P",17.5,"A"
"103","USGS","03289000",2017-07-14,24,"P",16.3,"A"
"104","USGS","03289000",2017-07-15,23.2,"P",15.1,"A"
"105","USGS","03289000",2017-07-16,22.5,"P",11.4,"A"
"106","USGS","03289000",2017-07-17,22.7,"P",9.02,"A"
"107","USGS","03289000",2017-07-18,23.4,"P",7.61,"A"
"108","USGS","03289000",2017-07-19,24.1,"P",6.8,"A"
"109","USGS","03289000",2017-07-20,24,"P",5.82,"A"
"110","USGS","03289000",2017-07-21,24.9,"P",6.28,"A"
"111","USGS","03289000",2017-07-22,25.7,"P",5.96,"A"
"112","USGS","03289000",2017-07-23,24.5,"P",24.9,"A"
"113","USGS","03289000",2017-07-24,23.7,"P",14.1,"A"
"114","USGS","03289000",2017-07-26,23.1,"P",4.15,"A"
"115","USGS","03289000",2017-07-27,24.3,"P",3.41,"A"
"116","USGS","03289000",2017-07-28,23.6,"P",42.5,"A"
"117","USGS","03289000",2017-07-29,22.2,"P",24.3,"A"
"118","USGS","03289000",2017-07-30,20.9,"P",12.1,"A"
"119","USGS","03289000",2017-07-31,21.4,"P",7.47,"A"
"120","USGS","03289000",2017-08-01,22,"P",5.16,"A"
"121","USGS","03289000",2017-08-02,22.2,"P",21.8,"A"
"122","USGS","03289000",2017-08-03,22.3,"P",21.5,"A"
"123","USGS","03289000",2017-08-04,22.1,"P",13.7,"A"
"124","USGS","03289000",2017-08-05,20.1,"P",8.78,"A"
"125","USGS","03289000",2017-08-06,19.5,"P",9.99,"A"
"126","USGS","03289000",2017-08-07,19.6,"P",82.6,"A"
"127","USGS","03289000",2017-08-08,19.8,"P",24.1,"A"
"128","USGS","03289000",2017-08-09,20.1,"P",15.3,"A"
"129","USGS","03289000",2017-08-10,21.3,"P",8.59,"A"
"130","USGS","03289000",2017-08-11,21.4,"P",4.94,"A"
"131","USGS","03289000",2017-08-12,22.1,"P",3.37,"A"
"132","USGS","03289000",2017-08-13,21.5,"P",2.44,"A"
"133","USGS","03289000",2017-08-14,21.4,"P",9.33,"A"
"134","USGS","03289000",2017-08-15,22.2,"P",5.95,"A"
"135","USGS","03289000",2017-08-16,23,"P",8.03,"A"
"136","USGS","03289000",2017-08-17,23.9,"P",7.15,"A"
"137","USGS","03289000",2017-08-18,24.2,"P",41.3,"A"
"138","USGS","03289000",2017-08-19,22.9,"P",12.4,"A"
"139","USGS","03289000",2017-08-20,23.1,"P",6.17,"A"
"140","USGS","03289000",2017-08-21,23.3,"P",3.89,"A"
"141","USGS","03289000",2017-08-22,23.6,"P",16.5,"A"
"142","USGS","03289000",2017-08-23,22.4,"P",24.3,"A"
"143","USGS","03289000",2017-08-24,20.3,"P",6.11,"A"
"144","USGS","03289000",2017-08-25,19.3,"P",3.05,"A"
"145","USGS","03289000",2017-08-26,19,"P",2.18,"A"
"146","USGS","03289000",2017-08-27,19.2,"P",1.65,"A"
"147","USGS","03289000",2017-08-28,19.7,"P",32.2,"A"
"148","USGS","03289000",2017-08-29,19.9,"P",18.7,"A"
"149","USGS","03289000",2017-08-30,20.3,"P",8.21,"A"
"150","USGS","03289000",2017-08-31,20.8,"P",4.49,"A"
"151","USGS","03289000",2017-09-01,19.4,"P",114,"A"
"152","USGS","03289000",2017-09-02,17.9,"P",157,"A"
"153","USGS","03289000",2017-09-03,17.9,"P",66,"A"
"154","USGS","03289000",2017-09-04,19.5,"P",36.8,"A"
"155","USGS","03289000",2017-09-05,19.9,"P",49.8,"A"
"156","USGS","03289000",2017-09-06,17.4,"P",33,"A"
"157","USGS","03289000",2017-09-07,16.2,"P",22.6,"A"
"158","USGS","03289000",2017-09-08,16,"P",17.6,"A"
"159","USGS","03289000",2017-09-09,16.5,"P",15,"A"
"160","USGS","03289000",2017-09-10,16.4,"P",10.5,"A"
"161","USGS","03289000",2017-09-11,16.3,"P",8.39,"A"
"162","USGS","03289000",2017-09-12,16.9,"P",11.8,"A"
"163","USGS","03289000",2017-09-13,17.9,"P",27.4,"A"
"164","USGS","03289000",2017-09-14,17.6,"P",27.4,"A"
"165","USGS","03289000",2017-09-15,17.9,"P",18.8,"A"
"166","USGS","03289000",2017-09-16,18.8,"P",15.2,"A"
"167","USGS","03289000",2017-09-17,19.3,"P",11.6,"A"
"168","USGS","03289000",2017-09-18,19.8,"P",9.47,"A"
"169","USGS","03289000",2017-09-19,20.5,"P",44,"A"
"170","USGS","03289000",2017-09-20,20.4,"P",29,"A"
"171","USGS","03289000",2017-09-21,20.6,"P",17.4,"A"
"172","USGS","03289000",2017-09-22,20.9,"P",13.2,"A"
"173","USGS","03289000",2017-09-23,20.6,"P",9.39,"A"
"174","USGS","03289000",2017-09-24,20.5,"P",7.41,"A"
"175","USGS","03289000",2017-09-25,20.4,"P",6.74,"A"
"176","USGS","03289000",2017-09-26,20.4,"P",5.48,"A"
"177","USGS","03289000",2017-09-27,20.6,"P",4.21,"A"
"178","USGS","03289000",2017-09-28,20.2,"P",3.67,"A"
"179","USGS","03289000",2017-09-29,18,"P",3.41,"A"
"180","USGS","03289000",2017-09-30,16.6,"P",3.8,"A"
"181","USGS","03289000",2017-10-01,15.7,"P",4.61,"A"
"182","USGS","03289000",2017-10-02,16,"P",4.47,"A"
"183","USGS","03289000",2017-10-03,16.9,"P",3.88,"A"
"184","USGS","03289000",2017-10-04,17.2,"P",3.37,"A"
"185","USGS","03289000",2017-10-05,17.7,"P",3.4,"A"
"186","USGS","03289000",2017-10-06,18.2,"P",3.35,"A"
"187","USGS","03289000",2017-10-07,18.7,"P",3.07,"A"
"188","USGS","03289000",2017-10-08,19.6,"P",342,"A e"
"189","USGS","03289000",2017-10-09,18.8,"P",197,"A"
"190","USGS","03289000",2017-10-10,18.4,"P",98.4,"A"
"191","USGS","03289000",2017-10-11,18.9,"P",95.7,"A"
"192","USGS","03289000",2017-10-12,17.3,"P",64.2,"A"
"193","USGS","03289000",2017-10-13,16.4,"P",45.2,"A"
"194","USGS","03289000",2017-10-14,16.9,"P",33.6,"A"
"195","USGS","03289000",2017-10-15,18.2,"P",25.9,"A"
"196","USGS","03289000",2017-10-16,15.6,"P",20.6,"A"
"197","USGS","03289000",2017-10-17,13.3,"P",16.9,"A"
"198","USGS","03289000",2017-10-18,13,"P",13.8,"A"
"199","USGS","03289000",2017-10-19,13.2,"P",10.1,"A"
"200","USGS","03289000",2017-10-20,13.7,"P",7.92,"A"
"201","USGS","03289000",2017-10-21,14,"P",5.94,"A"
"202","USGS","03289000",2017-10-22,14.9,"P",5.6,"A"
"203","USGS","03289000",2017-10-23,16.1,"P",49.2,"A"
"204","USGS","03289000",2017-10-24,14.4,"P",33.6,"A"
"205","USGS","03289000",2017-10-25,12.6,"P",21.6,"A"
"206","USGS","03289000",2017-10-26,11.1,"P",16.3,"A"
"207","USGS","03289000",2017-10-27,12.5,"P",18.2,"A"
"208","USGS","03289000",2017-10-28,11.5,"P",87.5,"A"
"209","USGS","03289000",2017-10-29,10.8,"P",62.9,"A"
"210","USGS","03289000",2017-10-30,10.2,"P",45.1,"A"
"211","USGS","03289000",2017-10-31,10.7,"P",35.4,"A"
"212","USGS","03289000",2017-11-01,11.1,"P",44.9,"A"
"213","USGS","03289000",2017-11-02,14.2,"P",41,"A"
"214","USGS","03289000",2017-11-03,15.9,"P",119,"A"
"215","USGS","03289000",2017-11-04,15.5,"P",90.2,"A"
"216","USGS","03289000",2017-11-05,16.5,"P",64,"A"
"217","USGS","03289000",2017-11-06,16.2,"P",48.6,"A"
"218","USGS","03289000",2017-11-07,13.4,"P",85.1,"A"
"219","USGS","03289000",2017-11-08,12.6,"P",70.8,"A"
"220","USGS","03289000",2017-11-09,11.7,"P",57,"A"
"221","USGS","03289000",2017-11-10,10.1,"P",43.4,"A"
"222","USGS","03289000",2017-11-11,8.4,"P",35,"A"
"223","USGS","03289000",2017-11-12,10,"P",30.1,"A"
"224","USGS","03289000",2017-11-13,10.6,"P",25.9,"A"
"225","USGS","03289000",2017-11-14,10.2,"P",22,"A"
"226","USGS","03289000",2017-11-15,9,"P",24.3,"A"
"227","USGS","03289000",2017-11-16,9.8,"P",26,"A"
"228","USGS","03289000",2017-11-17,8.7,"P",19.8,"A"
"229","USGS","03289000",2017-11-18,11.2,"P",34.8,"A"
"230","USGS","03289000",2017-11-19,10.9,"P",60.8,"A"
"231","USGS","03289000",2017-11-20,8.2,"P",38.8,"A"
"232","USGS","03289000",2017-11-21,8.6,"P",32.2,"A"
"233","USGS","03289000",2017-11-22,8.5,"P",26.5,"A"
"234","USGS","03289000",2017-11-23,6.5,"P",22.5,"A"
"235","USGS","03289000",2017-11-24,6.6,"P",20.2,"A"
"236","USGS","03289000",2017-11-25,8.7,"P",18.1,"A"
"237","USGS","03289000",2017-11-26,7.6,"P",16.1,"A"
"238","USGS","03289000",2017-11-27,6.6,"P",14.6,"A"
"239","USGS","03289000",2017-11-28,7.4,"P",12.5,"A"
"240","USGS","03289000",2017-11-29,7.6,"P",10.8,"A"
"241","USGS","03289000",2017-11-30,7.9,"P",10.2,"A"
"242","USGS","03289000",2017-12-01,7.2,"P",8.27,"A"
"243","USGS","03289000",2017-12-02,6.3,"P",7.1,"A"
"244","USGS","03289000",2017-12-03,6,"P",6.28,"A"
"245","USGS","03289000",2017-12-04,6.6,"P",5.74,"A"
"246","USGS","03289000",2017-12-05,10.3,"P",47.8,"A"
"247","USGS","03289000",2017-12-06,7.5,"P",26.2,"A"
"248","USGS","03289000",2017-12-07,5.6,"P",19.6,"A"
"249","USGS","03289000",2017-12-08,3.8,"P",15.5,"A"
"250","USGS","03289000",2017-12-09,2.3,"P",11.7,"A"
"251","USGS","03289000",2017-12-10,2.2,"P",9.21,"A"
"252","USGS","03289000",2017-12-11,3,"P",7.31,"A"
"253","USGS","03289000",2017-12-12,4.3,"P",6.49,"A"
"254","USGS","03289000",2017-12-13,1.8,"P",5.4,"A"
"255","USGS","03289000",2017-12-14,3.2,"P",5,"A"
"256","USGS","03289000",2017-12-15,2.7,"P",4.23,"A"
"257","USGS","03289000",2017-12-16,3.2,"P",3.91,"A"
"258","USGS","03289000",2017-12-17,4.1,"P",3.92,"A"
"259","USGS","03289000",2017-12-18,6.1,"P",4.59,"A"
"260","USGS","03289000",2017-12-19,7.6,"P",3.5,"A"
"261","USGS","03289000",2017-12-20,8.1,"P",3.18,"A"
"262","USGS","03289000",2017-12-21,6.3,"P",2.81,"A"
"263","USGS","03289000",2017-12-22,8.9,"P",3.06,"A"
"264","USGS","03289000",2017-12-23,10.8,"P",201,"A e"
"265","USGS","03289000",2017-12-24,10.2,"P",124,"A"
"266","USGS","03289000",2017-12-25,7.5,"P",75.9,"A"
"267","USGS","03289000",2017-12-26,7,"P",55.7,"A"
"268","USGS","03289000",2017-12-27,5,"P",41.7,"A"
"269","USGS","03289000",2017-12-28,2.6,"P",33.8,"A"
"270","USGS","03289000",2017-12-29,3.2,"P",28.7,"A"
"271","USGS","03289000",2017-12-30,3.9,"P",24.3,"A"
"272","USGS","03289000",2017-12-31,1,"P",20,"A e"
"273","USGS","03289000",2018-01-01,0.1,"P",14.2,"A e"
"274","USGS","03289000",2018-01-02,0.1,"P",11.9,"A e"
"275","USGS","03289000",2018-01-03,0.1,"P",10.3,"A e"
"276","USGS","03289000",2018-01-04,0.1,"P",8.79,"A e"
"277","USGS","03289000",2018-01-05,0.1,"P",8.35,"A e"
"278","USGS","03289000",2018-01-06,0.1,"P",7.82,"A e"
"279","USGS","03289000",2018-01-07,0.1,"P",7.57,"A e"
"280","USGS","03289000",2018-01-08,0.1,"P",19.1,"A"
"281","USGS","03289000",2018-01-09,0.4,"P",18.7,"A"
"282","USGS","03289000",2018-01-10,4.5,"P",16.1,"A"
"283","USGS","03289000",2018-01-11,9.1,"P",17.2,"A"
"284","USGS","03289000",2018-01-12,9.1,"P",26.7,"A"
"285","USGS","03289000",2018-01-13,3.4,"P",34,"A"
"286","USGS","03289000",2018-01-14,0.5,"P",25.1,"A e"
"287","USGS","03289000",2018-01-15,1.6,"P",22,"A e"
"288","USGS","03289000",2018-01-16,1.1,"P",19.7,"A e"
"289","USGS","03289000",2018-01-17,0,"P",18.1,"A e"
"290","USGS","03289000",2018-01-18,0.1,"P",17.2,"A e"
"291","USGS","03289000",2018-01-19,0.2,"P",16.9,"A e"
"292","USGS","03289000",2018-01-20,2,"P",17,"A e"
"293","USGS","03289000",2018-01-21,6.8,"P",26,"A e"
"294","USGS","03289000",2018-01-22,9.3,"P",30.5,"A"
"295","USGS","03289000",2018-01-23,8.5,"P",39,"A"
"296","USGS","03289000",2018-01-24,6.3,"P",32.3,"A"
"297","USGS","03289000",2018-01-25,4.9,"P",28.4,"A"
"298","USGS","03289000",2018-01-26,6,"P",25.4,"A"
"299","USGS","03289000",2018-01-27,7.8,"P",51.3,"A"
"300","USGS","03289000",2018-01-28,10.1,"P",148,"A"
"301","USGS","03289000",2018-01-30,7.2,"P",68.2,"A"
"302","USGS","03289000",2018-01-31,6.8,"P",53.1,"A"
"303","USGS","03289000",2018-02-01,7.7,"P",44,"A"
"304","USGS","03289000",2018-02-02,4.9,"P",39.9,"A"
"305","USGS","03289000",2018-02-03,3.5,"P",32.2,"A"
"306","USGS","03289000",2018-02-04,5.5,"P",35.4,"A"
"307","USGS","03289000",2018-02-05,4.8,"P",33.2,"A"
"308","USGS","03289000",2018-02-06,5.1,"P",29.5,"A"
"309","USGS","03289000",2018-02-07,6.6,"P",206,"A"
"310","USGS","03289000",2018-02-08,8.3,"P",138,"A"
"311","USGS","03289000",2018-02-09,8.6,"P",92.3,"A"
"312","USGS","03289000",2018-02-10,9.9,"P",76.6,"A"
"313","USGS","03289000",2018-02-11,10.1,"P",141,"A"
"314","USGS","03289000",2018-02-12,9.1,"P",130,"A"
"315","USGS","03289000",2018-02-13,8.8,"P",94.2,"A"
"316","USGS","03289000",2018-02-14,10.5,"P",112,"A"
"317","USGS","03289000",2018-02-15,13.2,"P",124,"A"
"318","USGS","03289000",2018-02-16,12.2,"P",280,"A"
"319","USGS","03289000",2018-02-17,9.9,"P",251,"A"
"320","USGS","03289000",2018-02-18,10.4,"P",188,"A"
"321","USGS","03289000",2018-02-19,12.4,"P",128,"A"
"322","USGS","03289000",2018-02-20,14,"P",92.3,"A"
"323","USGS","03289000",2018-02-21,13.8,"P",91.1,"A"
"324","USGS","03289000",2018-02-22,11,"P",788,"A e"
"325","USGS","03289000",2018-02-23,12.8,"P",261,"A"
"326","USGS","03289000",2018-02-24,13,"P",201,"A"
"327","USGS","03289000",2018-02-25,12.7,"P",510,"A"
"328","USGS","03289000",2018-02-26,12,"P",187,"A"
"329","USGS","03289000",2018-02-27,11.5,"P",125,"A"
"330","USGS","03289000",2018-02-28,12.1,"P",92.4,"A"
"331","USGS","03289000",2018-03-01,12.5,"P",83.8,"A"
"332","USGS","03289000",2018-03-02,10.6,"P",65.6,"A"
"333","USGS","03289000",2018-03-03,9.6,"P",54.7,"A"
"334","USGS","03289000",2018-03-04,9.3,"P",43.2,"A"
"335","USGS","03289000",2018-03-05,9,"P",36.8,"A"
"336","USGS","03289000",2018-03-06,10.9,"P",33,"A"
"337","USGS","03289000",2018-03-07,9,"P",28.8,"A"
"338","USGS","03289000",2018-03-08,7.1,"P",24.6,"A"
"339","USGS","03289000",2018-03-09,6.7,"P",21.7,"A"
"340","USGS","03289000",2018-03-10,8.1,"P",45,"A"
"341","USGS","03289000",2018-03-13,8.1,"P",65.7,"A"
"342","USGS","03289000",2018-03-14,8.3,"P",75.7,"A"
"343","USGS","03289000",2018-03-15,9.7,"P",71,"A"
"344","USGS","03289000",2018-03-16,10,"P",62.6,"A"
"345","USGS","03289000",2018-03-17,11.1,"P",53.6,"A"
"346","USGS","03289000",2018-03-18,12.2,"P",43,"A"
"347","USGS","03289000",2018-03-19,11,"P",38.2,"A"
"348","USGS","03289000",2018-03-20,9.5,"P",58.8,"A"
"349","USGS","03289000",2018-03-21,7,"P",49.3,"A"
"350","USGS","03289000",2018-03-22,7.7,"P",44.6,"A"
"351","USGS","03289000",2018-03-23,9.3,"P",44.8,"A"
"352","USGS","03289000",2018-03-24,8.1,"P",146,"A"
"353","USGS","03289000",2018-03-25,9.8,"P",208,"A"
"354","USGS","03289000",2018-03-26,11.4,"P",125,"A"
"355","USGS","03289000",2018-03-27,12.2,"P",91.1,"A"
"356","USGS","03289000",2018-03-28,12.9,"P",125,"A"
"357","USGS","03289000",2018-03-29,12.8,"P",167,"A"
"358","USGS","03289000",2018-03-30,11.8,"P",194,"A"
"359","USGS","03289000",2018-03-31,12,"P",142,"A"
"360","USGS","03289000",2018-04-01,11.8,"P",110,"A"
"361","USGS","03289000",2018-04-02,10.8,"P",190,"A"
"362","USGS","03289000",2018-04-03,13.7,"P",131,"A"
"363","USGS","03289000",2018-04-04,12.4,"P",190,"A"
"364","USGS","03289000",2018-04-05,11.1,"P",116,"A"
"365","USGS","03289000",2018-04-06,11.9,"P",86.3,"A"
"366","USGS","03289000",2018-04-07,9.8,"P",68.7,"A"
"367","USGS","03289000",2018-04-08,9.2,"P",56.6,"A"
"368","USGS","03289000",2018-04-09,10.3,"P",47.4,"A"
"369","USGS","03289000",2018-04-10,10.5,"P",38.1,"A"
"370","USGS","03289000",2018-04-11,11,"P",32.3,"A"
"371","USGS","03289000",2018-04-12,14.3,"P",27.8,"A"
"372","USGS","03289000",2018-04-13,16.4,"P",23.7,"A"
"373","USGS","03289000",2018-04-14,16.1,"P",21.9,"A"
"374","USGS","03289000",2018-04-15,14.1,"P",122,"A"
"375","USGS","03289000",2018-04-16,10.6,"P",103,"A"
"376","USGS","03289000",2018-04-17,11.2,"P",70.4,"A"
"377","USGS","03289000",2018-04-18,13.6,"P",56.5,"A"
"378","USGS","03289000",2018-04-19,12.3,"P",50.8,"A"
"379","USGS","03289000",2018-04-20,11.6,"P",37.6,"A"
"380","USGS","03289000",2018-04-21,13.1,"P",32.4,"A"
"381","USGS","03289000",2018-04-22,14.2,"P",28.1,"A"
"382","USGS","03289000",2018-04-23,13.8,"P",59,"A"
"383","USGS","03289000",2018-04-24,13.2,"P",115,"A"
"384","USGS","03289000",2018-04-25,13.4,"P",101,"A"
"385","USGS","03289000",2018-04-26,13.8,"P",73.5,"A"
"386","USGS","03289000",2018-04-27,14.7,"P",58,"A"
"387","USGS","03289000",2018-04-28,14.6,"P",44.6,"A"
"388","USGS","03289000",2018-04-29,13.6,"P",35.7,"A"
"389","USGS","03289000",2018-04-30,14,"P",30.4,"A"
"390","USGS","03289000",2018-05-01,15.6,"P",25.6,"A"
"391","USGS","03289000",2018-05-02,18,"P",22.1,"A"
"392","USGS","03289000",2018-05-03,19.5,"P",19.7,"A"
"393","USGS","03289000",2018-05-04,19.2,"P",17.7,"A"
"394","USGS","03289000",2018-05-05,17.6,"P",52.2,"A"
"395","USGS","03289000",2018-05-06,15.8,"P",576,"A"
"396","USGS","03289000",2018-05-07,15,"P",155,"A"
"397","USGS","03289000",2018-05-08,15.7,"P",94.6,"A"
"398","USGS","03289000",2018-05-09,16.6,"P",67.7,"A"
"399","USGS","03289000",2018-05-10,18.5,"P",51.9,"A"
"400","USGS","03289000",2018-05-11,19.2,"P",39.8,"A"
"401","USGS","03289000",2018-05-12,20,"P",32,"A"
"402","USGS","03289000",2018-05-13,20.3,"P",25.8,"A"
"403","USGS","03289000",2018-05-14,20.8,"P",21.4,"A"
"404","USGS","03289000",2018-05-15,21.4,"P",18,"A"
"405","USGS","03289000",2018-05-16,20.8,"P",58.7,"A"
"406","USGS","03289000",2018-05-17,19.7,"P",39.4,"A"
"407","USGS","03289000",2018-05-18,20,"P",69.6,"A"
"408","USGS","03289000",2018-05-19,19.2,"P",114,"A"
"409","USGS","03289000",2018-05-20,18.7,"P",70.6,"A"
"410","USGS","03289000",2018-05-21,19.6,"P",46,"A"
"411","USGS","03289000",2018-05-22,19.5,"P",54.6,"A"
"412","USGS","03289000",2018-05-23,19.8,"P",33.6,"A"
"413","USGS","03289000",2018-05-24,19.6,"P",25.2,"A"
"414","USGS","03289000",2018-05-25,20,"P",20.1,"A"
"415","USGS","03289000",2018-05-26,21.1,"P",17.1,"A"
"416","USGS","03289000",2018-05-27,22,"P",41.9,"A"
"417","USGS","03289000",2018-05-28,21.6,"P",43.1,"A"
"418","USGS","03289000",2018-05-29,21.7,"P",36.2,"A"
"419","USGS","03289000",2018-05-30,22,"P",56.9,"A"
"420","USGS","03289000",2018-05-31,20.7,"P",210,"A e"
"421","USGS","03289000",2018-06-01,17.9,"P",174,"A"
"422","USGS","03289000",2018-06-02,18.3,"P",101,"A"
"423","USGS","03289000",2018-06-03,18.7,"P",65.7,"A"
"424","USGS","03289000",2018-06-04,18.1,"P",46.3,"A"
"425","USGS","03289000",2018-06-05,18.1,"P",34.6,"A"
"426","USGS","03289000",2018-06-06,19,"P",26.5,"A"
"427","USGS","03289000",2018-06-07,18.9,"P",21.3,"A"
"428","USGS","03289000",2018-06-08,20.2,"P",18.3,"A"
"429","USGS","03289000",2018-06-09,21.8,"P",15.7,"A"
"430","USGS","03289000",2018-06-10,22.2,"P",13.1,"A"
