"","id","date","tmax"
"1","USC00311285",1959-12-01,NA
"2","USC00311285",1959-12-02,NA
"3","USC00311285",1959-12-03,NA
"4","USC00311285",1959-12-04,NA
"5","USC00311285",1959-12-05,NA
"6","USC00311285",1959-12-06,NA
"7","USC00311285",1959-12-07,NA
"8","USC00311285",1959-12-08,NA
"9","USC00311285",1959-12-09,NA
"10","USC00311285",1959-12-10,NA
"11","USC00311285",1959-12-11,NA
"12","USC00311285",1959-12-12,NA
"13","USC00311285",1959-12-13,NA
"14","USC00311285",1959-12-14,NA
"15","USC00311285",1959-12-15,NA
"16","USC00311285",1959-12-16,NA
"17","USC00311285",1959-12-17,NA
"18","USC00311285",1959-12-18,NA
"19","USC00311285",1959-12-19,NA
"20","USC00311285",1959-12-20,NA
"21","USC00311285",1959-12-21,NA
"22","USC00311285",1959-12-22,6.7
"23","USC00311285",1959-12-23,NA
"24","USC00311285",1959-12-24,NA
"25","USC00311285",1959-12-25,NA
"26","USC00311285",1959-12-26,NA
"27","USC00311285",1959-12-27,NA
"28","USC00311285",1959-12-28,NA
"29","USC00311285",1959-12-29,NA
"30","USC00311285",1959-12-30,NA
"31","USC00311285",1959-12-31,NA
