"","id","date","tmax"
"1","USC00096625",1941-07-01,-13.3
"2","USC00096625",1941-07-02,36.1
"3","USC00096625",1941-07-03,29.4
"4","USC00096625",1941-07-04,-16.1
"5","USC00096625",1941-07-05,75
"6","USC00096625",1941-07-06,28.3
"7","USC00096625",1941-07-07,43.3
"8","USC00096625",1941-07-08,-1.1
"9","USC00096625",1941-07-09,-16.1
"10","USC00096625",1941-07-10,NA
"11","USC00096625",1941-07-11,NA
"12","USC00096625",1941-07-12,-16.1
"13","USC00096625",1941-07-13,-12.2
"14","USC00096625",1941-07-14,-13.3
"15","USC00096625",1941-07-15,NA
"16","USC00096625",1941-07-16,34.4
"17","USC00096625",1941-07-17,35
"18","USC00096625",1941-07-18,NA
"19","USC00096625",1941-07-19,NA
"20","USC00096625",1941-07-20,24.4
"21","USC00096625",1941-07-21,NA
"22","USC00096625",1941-07-22,NA
"23","USC00096625",1941-07-23,NA
"24","USC00096625",1941-07-24,NA
"25","USC00096625",1941-07-25,NA
"26","USC00096625",1941-07-26,-12.2
"27","USC00096625",1941-07-27,NA
"28","USC00096625",1941-07-28,NA
"29","USC00096625",1941-07-29,NA
"30","USC00096625",1941-07-30,NA
"31","USC00096625",1941-07-31,NA
