"","id","date","tmax","tmin"
"1","USC00360455",1959-03-01,6.7,-2.2
"2","USC00360455",1959-03-02,10.6,0
"3","USC00360455",1959-03-03,5,-7.8
"4","USC00360455",1959-03-04,8.3,-1.1
"5","USC00360455",1959-03-05,3.3,-6.1
"6","USC00360455",1959-03-06,7.2,2.2
"7","USC00360455",1959-03-07,NA,NA
"8","USC00360455",1959-03-08,NA,NA
"9","USC00360455",1959-03-09,NA,NA
"10","USC00360455",1959-03-10,NA,NA
"11","USC00360455",1959-03-11,NA,NA
"12","USC00360455",1959-03-12,NA,NA
"13","USC00360455",1959-03-13,NA,NA
"14","USC00360455",1959-03-14,NA,NA
"15","USC00360455",1959-03-15,NA,NA
"16","USC00360455",1959-03-16,NA,NA
"17","USC00360455",1959-03-17,NA,NA
"18","USC00360455",1959-03-18,NA,NA
"19","USC00360455",1959-03-19,NA,NA
"20","USC00360455",1959-03-20,6.7,0
"21","USC00360455",1959-03-21,17.8,1.1
"22","USC00360455",1959-03-22,16.7,-8.3
"23","USC00360455",1959-03-23,-2.2,-10
"24","USC00360455",1959-03-24,6.7,-2.2
"25","USC00360455",1959-03-25,15,-0.6
"26","USC00360455",1959-03-26,21.1,3.3
"27","USC00360455",1959-03-27,10,0
"28","USC00360455",1959-03-28,0,-8.3
"29","USC00360455",1959-03-29,-1.7,-11.1
"30","USC00360455",1959-03-30,NA,NA
"31","USC00360455",1959-03-31,NA,NA
"32","USC00360455",1962-06-01,NA,NA
"33","USC00360455",1962-06-02,NA,NA
"34","USC00360455",1962-06-03,NA,NA
"35","USC00360455",1962-06-04,NA,NA
"36","USC00360455",1962-06-05,NA,NA
"37","USC00360455",1962-06-06,NA,NA
"38","USC00360455",1962-06-07,NA,NA
"39","USC00360455",1962-06-08,NA,NA
"40","USC00360455",1962-06-09,NA,NA
"41","USC00360455",1962-06-10,NA,NA
"42","USC00360455",1962-06-11,NA,NA
"43","USC00360455",1962-06-12,NA,NA
"44","USC00360455",1962-06-13,NA,NA
"45","USC00360455",1962-06-14,NA,NA
"46","USC00360455",1962-06-15,NA,NA
"47","USC00360455",1962-06-16,NA,NA
"48","USC00360455",1962-06-17,NA,NA
"49","USC00360455",1962-06-18,NA,NA
"50","USC00360455",1962-06-19,NA,NA
"51","USC00360455",1962-06-20,NA,NA
"52","USC00360455",1962-06-21,NA,NA
"53","USC00360455",1962-06-22,NA,NA
"54","USC00360455",1962-06-23,NA,NA
"55","USC00360455",1962-06-24,NA,NA
"56","USC00360455",1962-06-25,NA,NA
"57","USC00360455",1962-06-26,26.7,11.1
"58","USC00360455",1962-06-27,27.2,9.4
"59","USC00360455",1962-06-28,26.1,6.1
"60","USC00360455",1962-06-29,25.6,7.8
"61","USC00360455",1962-06-30,27.2,10.6
"62","USC00360455",1962-07-01,29.4,13.9
"63","USC00360455",1962-07-02,27.2,6.7
"64","USC00360455",1962-07-03,27.2,7.8
"65","USC00360455",1962-07-04,25,7.8
"66","USC00360455",1962-07-05,26.7,6.7
"67","USC00360455",1962-07-06,27.2,7.2
"68","USC00360455",1962-07-07,27.8,9.4
"69","USC00360455",1962-07-08,31.1,11.1
"70","USC00360455",1962-07-09,32.8,20
"71","USC00360455",1962-07-10,27.8,10.6
"72","USC00360455",1962-07-11,27.2,7.2
"73","USC00360455",1962-07-12,28.9,13.3
"74","USC00360455",1962-07-13,23.3,13.3
"75","USC00360455",1962-07-14,27.8,12.2
"76","USC00360455",1962-07-15,21.7,12.8
"77","USC00360455",1962-07-16,27.2,9.4
"78","USC00360455",1962-07-17,26.1,15
"79","USC00360455",1962-07-18,23.3,15.6
"80","USC00360455",1962-07-19,18.9,11.1
"81","USC00360455",1962-07-20,26.7,9.4
"82","USC00360455",1962-07-21,27.8,16.1
"83","USC00360455",1962-07-22,26.7,13.3
"84","USC00360455",1962-07-23,25.6,12.8
"85","USC00360455",1962-07-24,23.9,13.3
"86","USC00360455",1962-07-25,23.3,6.1
"87","USC00360455",1962-07-26,23.9,13.3
"88","USC00360455",1962-07-27,22.8,7.8
"89","USC00360455",1962-07-28,21.1,4.4
"90","USC00360455",1962-07-29,25.6,10.6
"91","USC00360455",1962-07-30,21.7,16.1
"92","USC00360455",1962-07-31,26.1,16.7
"93","USC00360455",1962-08-01,27.8,16.1
"94","USC00360455",1962-08-02,25.6,9.4
"95","USC00360455",1962-08-03,26.1,8.3
"96","USC00360455",1962-08-04,27.2,13.3
"97","USC00360455",1962-08-05,21.1,16.1
"98","USC00360455",1962-08-06,23.3,17.8
"99","USC00360455",1962-08-07,27.8,20
"100","USC00360455",1962-08-08,23.9,13.3
"101","USC00360455",1962-08-09,27.2,15
"102","USC00360455",1962-08-10,19.4,11.7
"103","USC00360455",1962-08-11,15,11.7
"104","USC00360455",1962-08-12,20.6,6.1
