"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd","Flow","Flow_cd"
"84","USGS","02292900",2014-07-23,30.8,"A",NA,NA,2040,"A"
"85","USGS","02292900",2014-07-24,30.9,"A",NA,NA,2070,"A"
"86","USGS","02292900",2014-07-25,31,"A",NA,NA,1310,"A"
"87","USGS","02292900",2014-07-26,30.7,"A",NA,NA,1270,"A"
"88","USGS","02292900",2014-07-27,30.6,"A",NA,NA,983,"A"
"89","USGS","02292900",2014-07-28,30.6,"A",NA,NA,1050,"A"
"90","USGS","02292900",2014-07-29,30.7,"A",NA,NA,1770,"A"
"91","USGS","02292900",2014-07-30,30.9,"A",NA,NA,2600,"A"
"92","USGS","02292900",2014-07-31,31,"A",NA,NA,2570,"A"
"93","USGS","02292900",2014-08-01,30.9,"A",NA,NA,2170,"A"
"94","USGS","02292900",2014-08-02,31.2,"A",NA,NA,1940,"A"
"95","USGS","02292900",2014-08-03,31.4,"A",NA,NA,2180,"A"
"96","USGS","02292900",2014-08-04,30.1,"A",NA,NA,1950,"A"
"97","USGS","02292900",2014-08-05,30.2,"A",NA,NA,2800,"A"
"98","USGS","02292900",2014-08-06,30.2,"A",NA,NA,2180,"A"
"99","USGS","02292900",2014-08-07,30.8,"A",NA,NA,2630,"A"
"100","USGS","02292900",2014-08-08,30.2,"A",NA,NA,2400,"A"
"101","USGS","02292900",2014-08-09,29.7,"A",NA,NA,4060,"A"
"102","USGS","02292900",2014-08-10,29.7,"A",NA,NA,2810,"A"
"103","USGS","02292900",2014-08-11,30.1,"A",NA,NA,2620,"A"
"104","USGS","02292900",2014-08-12,30.6,"A",NA,NA,1640,"A"
"105","USGS","02292900",2014-08-13,30.6,"A",NA,NA,1230,"A"
"106","USGS","02292900",2014-08-14,30.3,"A",NA,NA,1980,"A"
"107","USGS","02292900",2014-08-15,29.4,"A",NA,NA,2840,"A"
"108","USGS","02292900",2014-08-16,28.8,"A",NA,NA,4040,"A"
"109","USGS","02292900",2014-08-17,29,"A",NA,NA,4220,"A"
"110","USGS","02292900",2014-08-18,30.1,"A",NA,NA,2770,"A"
"111","USGS","02292900",2014-08-19,31,"A",NA,NA,2380,"A"
"112","USGS","02292900",2014-08-20,31.8,"A",NA,NA,1970,"A"
"113","USGS","02292900",2014-08-21,32.5,"A",NA,NA,1930,"A"
"114","USGS","02292900",2014-08-22,33.8,"A",NA,NA,1680,"A"
"115","USGS","02292900",2014-08-23,33.7,"A",NA,NA,1350,"A"
"116","USGS","02292900",2014-08-26,31.2,"A",NA,NA,872,"A"
"117","USGS","02292900",2014-08-27,31.9,"A",NA,NA,425,"A"
"118","USGS","02292900",2014-08-28,31.7,"A",NA,NA,1490,"A"
"119","USGS","02292900",2014-08-29,30.9,"A",NA,NA,2320,"A"
"120","USGS","02292900",2014-08-30,30.4,"A",NA,NA,2480,"A"
"121","USGS","02292900",2014-08-31,30.3,"A",NA,NA,1760,"A"
"122","USGS","02292900",2014-09-01,30.5,"A",NA,NA,896,"A"
"123","USGS","02292900",2014-09-02,30.8,"A",NA,NA,881,"A"
"124","USGS","02292900",2014-09-03,30.7,"A",NA,NA,590,"A"
"125","USGS","02292900",2014-09-04,30.6,"A",NA,NA,1530,"A"
"126","USGS","02292900",2014-09-05,30.6,"A",NA,NA,2170,"A"
"127","USGS","02292900",2014-09-06,29.9,"A",NA,NA,2800,"A"
"128","USGS","02292900",2014-09-07,29.6,"A",NA,NA,2630,"A"
"129","USGS","02292900",2014-09-08,29.7,"A",NA,NA,3100,"A"
"130","USGS","02292900",2014-09-09,29.9,"A",NA,NA,2750,"A"
"131","USGS","02292900",2014-09-10,29.7,"A",NA,NA,2570,"A"
"132","USGS","02292900",2014-09-11,29.9,"A",NA,NA,2430,"A"
"133","USGS","02292900",2014-09-12,29.5,"A",NA,NA,2890,"A"
"134","USGS","02292900",2014-09-13,29.3,"A",NA,NA,2750,"A"
"135","USGS","02292900",2014-09-14,29.1,"A",NA,NA,2650,"A"
"136","USGS","02292900",2014-09-15,29.7,"A",NA,NA,2020,"A"
"137","USGS","02292900",2014-09-16,29.6,"A",NA,NA,1260,"A"
"138","USGS","02292900",2014-09-17,28.9,"A",NA,NA,1860,"A"
"139","USGS","02292900",2014-09-18,30,"A",NA,NA,1650,"A"
"140","USGS","02292900",2014-09-19,29.5,"A",NA,NA,1820,"A"
"141","USGS","02292900",2014-09-20,28.1,"A",NA,NA,2350,"A"
"142","USGS","02292900",2014-09-21,28.3,"A",NA,NA,2870,"A"
"143","USGS","02292900",2014-09-22,28.2,"A",NA,NA,2860,"A"
"144","USGS","02292900",2014-09-23,27.9,"A",NA,NA,2800,"A"
"145","USGS","02292900",2014-09-24,27.9,"A",NA,NA,3050,"A"
"146","USGS","02292900",2014-09-25,28.2,"A",NA,NA,2020,"A"
"147","USGS","02292900",2014-09-26,28,"A",NA,NA,4230,"A"
"148","USGS","02292900",2014-09-27,27.7,"A",NA,NA,5900,"A"
"149","USGS","02292900",2014-09-28,27.7,"A",NA,NA,5890,"A"
"150","USGS","02292900",2014-09-29,27.8,"A",NA,NA,5700,"A"
"151","USGS","02292900",2014-09-30,28,"A",NA,NA,4990,"A"
"152","USGS","02292900",2014-10-01,28.2,"A",NA,NA,4800,"A"
"153","USGS","02292900",2014-10-02,28.7,"A",NA,NA,4140,"A"
"154","USGS","02292900",2014-10-03,29.1,"A",NA,NA,3040,"A"
"155","USGS","02292900",2014-10-04,28.8,"A",NA,NA,3010,"A"
"156","USGS","02292900",2014-10-05,28.5,"A",NA,NA,1760,"A"
"157","USGS","02292900",2014-10-06,27.9,"A",NA,NA,2460,"A"
"158","USGS","02292900",2014-10-07,27.6,"A",NA,NA,1910,"A"
"159","USGS","02292900",2014-10-08,27.6,"A",NA,NA,1770,"A"
"160","USGS","02292900",2014-10-09,27.7,"A",NA,NA,1200,"A"
"161","USGS","02292900",2014-10-10,27.6,"A",NA,NA,918,"A"
"162","USGS","02292900",2014-10-11,27.9,"A",NA,NA,824,"A"
"163","USGS","02292900",2014-10-12,28.1,"A",NA,NA,733,"A"
"164","USGS","02292900",2014-10-13,28,"A",NA,NA,626,"A"
"165","USGS","02292900",2014-10-14,28.3,"A",NA,NA,417,"A"
"166","USGS","02292900",2014-10-15,27.9,"A",NA,NA,1170,"A"
"167","USGS","02292900",2014-10-16,27.4,"A",NA,NA,1170,"A"
"168","USGS","02292900",2014-10-17,27.2,"A",NA,NA,1660,"A"
"169","USGS","02292900",2014-10-18,27.2,"A",NA,NA,1920,"A"
"170","USGS","02292900",2014-10-19,27.4,"A",NA,NA,1830,"A"
"171","USGS","02292900",2014-10-20,27.6,"A",NA,NA,1550,"A"
"172","USGS","02292900",2014-10-21,27.5,"A",NA,NA,882,"A"
"173","USGS","02292900",2014-10-22,27.4,"A",NA,NA,624,"A"
"174","USGS","02292900",2014-10-23,27.2,"A",NA,NA,606,"A"
"175","USGS","02292900",2014-10-24,26.4,"A",NA,NA,1140,"A"
"176","USGS","02292900",2014-10-25,26.2,"A",NA,NA,1430,"A"
"177","USGS","02292900",2014-10-26,25.9,"A",NA,NA,1270,"A"
"178","USGS","02292900",2014-10-27,25.9,"A",NA,NA,976,"A"
"179","USGS","02292900",2014-10-28,25.8,"A",NA,NA,741,"A"
"180","USGS","02292900",2014-10-29,26.1,"A",NA,NA,564,"A"
"181","USGS","02292900",2014-10-30,26.1,"A",NA,NA,360,"A"
"182","USGS","02292900",2014-10-31,25.5,"A",NA,NA,953,"A"
"183","USGS","02292900",2014-11-01,25,"A",NA,NA,1490,"A"
"184","USGS","02292900",2014-11-02,24.3,"A",NA,NA,1320,"A"
"185","USGS","02292900",2014-11-03,23.7,"A",NA,NA,1050,"A"
"186","USGS","02292900",2014-11-04,23.4,"A",NA,NA,839,"A"
"187","USGS","02292900",2014-11-05,23.4,"A",NA,NA,512,"A"
"188","USGS","02292900",2014-11-06,24,"A",NA,NA,274,"A"
"189","USGS","02292900",2014-11-07,23.9,"A",NA,NA,937,"A"
"190","USGS","02292900",2014-11-08,23.7,"A",NA,NA,1390,"A"
"191","USGS","02292900",2014-11-09,23,"A",NA,NA,1130,"A"
"192","USGS","02292900",2014-11-10,22.8,"A",NA,NA,788,"A"
"193","USGS","02292900",2014-11-11,22.6,"A",NA,NA,485,"A"
"194","USGS","02292900",2014-11-12,22.7,"A",NA,NA,265,"A"
"195","USGS","02292900",2014-11-13,22.5,"A",NA,NA,67.5,"A"
"196","USGS","02292900",2014-11-14,22.4,"A",NA,NA,1140,"A"
"197","USGS","02292900",2014-11-15,22.5,"A",NA,NA,1720,"A"
"198","USGS","02292900",2014-11-16,22.7,"A",NA,NA,1560,"A"
"199","USGS","02292900",2014-11-17,23.2,"A",NA,NA,1480,"A"
"200","USGS","02292900",2014-11-18,22.6,"A",NA,NA,1320,"A"
"201","USGS","02292900",2014-11-19,21.2,"A",NA,NA,740,"A"
"202","USGS","02292900",2014-11-20,21,"A",NA,NA,259,"A"
"203","USGS","02292900",2014-11-21,20.8,"A",NA,NA,1070,"A"
"204","USGS","02292900",2014-11-22,20.8,"A",NA,NA,1680,"A"
"205","USGS","02292900",2014-11-23,21.6,"A",NA,NA,1490,"A"
"206","USGS","02292900",2014-11-24,22.9,"A",NA,NA,1380,"A"
