"","x","Index","y","Index2","RcrdCnt"
"1",0,1,2.52053533568988,1,10
"2",1,2,2.28185969382009,2,10
"3",2,3,2.05124138854839,3,10
"4",3,4,1.83910903784029,4,10
"5",4,5,1.6559241692033,5,10
"6",5,6,1.51227994831302,6,10
"7",6,7,1.41880245038707,7,10
"8",7,8,1.3823526957502,8,10
"9",8,9,1.39473148515585,9,10
"10",9,10,1.44397456446457,10,10
"11",10,11,1.51811767953694,11,10
"12",11,12,1.6050199569275,12,10
"13",12,13,1.69183404596662,13,10
"14",13,14,1.76553597667864,14,10
"15",14,15,1.81554461777205,15,10
"16",15,16,1.84105019269199,16,10
"17",16,17,1.84368576356774,17,10
"18",17,18,1.82606343348355,18,10
"19",18,19,1.79471146934345,19,10
"20",19,20,1.7571371790064,20,10
"21",20,21,1.72084787033138,21,10
"22",21,22,1.69211692205329,22,10
"23",22,23,1.67228199641076,23,10
"24",23,24,1.66144682651836,24,10
"25",24,25,1.6595615671209,25,10
"26",25,26,1.66596205948413,26,10
"27",26,27,1.67983056650405,27,10
"28",27,28,1.70034935107667,28,10
"29",28,29,1.72611394689373,29,10
"30",29,30,1.75337297083,30,10
"31",30,31,1.77778831055596,31,10
"32",31,32,1.79608696081689,32,10
"33",32,33,1.80925634465708,33,10
"34",33,34,1.81934899219558,34,10
"35",34,35,1.82764348991476,35,10
"36",35,36,1.83232264975015,36,10
"37",36,37,1.83079534000059,37,10
"38",37,38,1.82047042896491,38,10
"39",38,39,1.80069482215083,39,10
"40",39,40,1.77856757390149,40,10
"41",40,41,1.76312577576891,41,10
"42",41,42,1.76260376485678,42,10
"43",42,43,1.78202486047555,43,10
"44",43,44,1.82560962748738,44,10
"45",44,45,1.8970082708616,45,10
"46",45,46,1.99758955599645,46,10
"47",46,47,2.12815188839736,47,10
"48",47,48,2.28949367356975,48,10
"49",48,49,2.48010273434266,49,10
"50",49,50,2.68922456283954,50,10
"51",50,51,2.90379406850742,51,10
"52",51,52,3.1107249609327,52,10
"53",52,53,3.29684615025921,53,10
"54",53,54,3.44896534677013,54,10
"55",54,55,3.55389026074866,55,10
"56",55,56,3.60357829127421,56,10
"57",56,57,3.61058559261113,57,10
"58",57,58,3.59261800781999,58,10
"59",58,59,3.56507129972164,59,10
"60",59,60,3.53410091017797,60,10
"61",60,61,3.50355220081111,61,10
"62",61,62,3.47923744288152,62,10
"63",62,63,3.47483654620287,63,10
"64",63,64,3.50599633022713,64,10
"65",64,65,3.58836361440627,65,10
"66",65,66,3.73102926029819,66,10
"67",66,67,3.91686029788448,67,10
"68",67,68,4.12216779925266,68,10
"69",68,69,4.32636794211604,69,10
"70",69,70,4.52129732669113,70,10
"71",70,71,4.70189765882025,71,10
"72",71,72,4.86493512423867,72,10
"73",72,73,5.01447382825359,73,10
"74",73,74,5.15640235606518,74,10
"75",74,75,5.29660929287359,75,10
"76",75,76,5.43910401373178,76,10
"77",76,77,5.58037905310381,77,10
"78",77,78,5.71504773530652,78,10
"79",78,79,5.83909808226235,79,10
"80",79,80,5.95401690631614,80,10
"81",80,81,6.0626657174183,81,10
"82",81,82,6.16790602551927,82,10
"83",82,83,6.27164921984295,83,10
"84",83,84,6.37200620670711,84,10
"85",84,85,6.466137771703,85,10
"86",85,86,6.55254781188339,86,10
"87",86,87,6.63511267014706,87,10
"88",87,88,6.71905180085432,88,10
"89",88,89,6.80898237802048,89,10
"90",89,90,6.9071124542809,90,10
"91",90,91,7.01504780192593,91,10
"92",91,92,7.13439419324595,92,10
"93",92,93,7.26729162040762,93,10
"94",93,94,7.41801695508276,94,10
"95",94,95,7.5913812888195,95,10
"96",95,96,7.79116871332064,96,10
"97",96,97,8.01705532090757,97,10
"98",97,98,8.26769020405638,98,10
"99",98,99,8.54172245524313,99,10
"100",99,100,8.83622634337024,100,10
"101",100,101,9.14197684304565,101,10
"102",101,102,9.44817410530363,102,10
"103",102,103,9.74501439886986,103,10
"104",103,104,10.0266784632356,104,10
"105",104,105,10.2883431555835,105,10
"106",105,106,10.5241900766134,106,10
"107",106,107,10.7244198010939,107,10
"108",107,108,10.878237647311,108,10
"109",108,109,10.9748489335504,109,10
"110",109,110,11.0101522618741,110,10
"111",110,111,11.0068193694483,111,10
"112",111,112,10.9942152772154,112,10
"113",112,113,10.9981408274638,113,10
"114",113,114,11.0301401478667,114,10
"115",114,115,11.0981931874435,115,10
"116",115,116,11.2087834059091,116,10
"117",116,117,11.3624083057614,117,10
"118",117,118,11.5580689001936,118,10
"119",118,119,11.7947662023994,119,10
"120",119,120,12.0690806810164,120,10
"121",120,121,12.36791062646,121,10
"122",121,122,12.6757337845898,122,10
"123",122,123,12.9778270557646,123,10
"124",123,124,13.26266395834,124,10
"125",124,125,13.5195171651707,125,10
"126",125,126,13.7376593491115,126,10
"127",126,127,13.9078495450628,127,10
"128",127,128,14.0267922361078,128,10
"129",128,129,14.0926782673751,129,10
"130",129,130,14.107781912542,130,10
"131",130,131,14.0907111594804,131,10
"132",131,132,14.0641574246102,132,10
"133",132,133,14.0489867536291,133,10
"134",133,134,14.0587637093438,134,10
"135",134,135,14.1052274838382,135,10
"136",135,136,14.2001172691963,136,10
"137",136,137,14.3503364956087,137,10
"138",137,138,14.5434455456922,138,10
"139",138,139,14.7621690401704,139,10
"140",139,140,14.994513036986,140,10
"141",140,141,15.2496093429585,141,10
"142",141,142,15.5418712021271,142,10
"143",142,143,15.8804110532178,143,10
"144",143,144,16.2531381137055,144,10
"145",144,145,16.6426607957527,145,10
"146",145,146,17.0315875115215,146,10
"147",146,147,17.3988408107092,147,10
"148",147,148,17.7085997931535,148,10
"149",148,149,17.9213576962271,149,10
"150",149,150,18.0088493703928,150,10
"151",150,151,17.9877761184732,151,10
"152",151,152,17.8860808563809,152,10
"153",152,153,17.7317065000285,153,10
"154",153,154,17.553854856379,154,10
"155",154,155,17.3867632965966,155,10
"156",155,156,17.2659280828959,156,10
"157",156,157,17.2186509203845,157,10
"158",157,158,17.2394552857423,158,10
"159",158,159,17.3146700985421,159,10
"160",159,160,17.4297727803281,160,10
"161",160,161,17.5668347605291,161,10
"162",161,162,17.7070759705454,162,10
"163",162,163,17.831716341777,163,10
"164",163,164,17.9277540721844,164,10
"165",164,165,18.0053004259694,165,10
"166",165,166,18.0802449338942,166,10
"167",166,167,18.1654817734379,167,10
"168",167,168,18.2619237089474,168,10
"169",168,169,18.3674881514864,169,10
"170",169,170,18.4787419552997,170,10
"171",170,171,18.5868497473557,171,10
"172",171,172,18.6816255978037,172,10
"173",172,173,18.752883576793,173,10
"174",173,174,18.7942738687927,174,10
"175",174,175,18.8147911155503,175,10
"176",175,176,18.8272660731332,176,10
"177",176,177,18.8437471721766,177,10
"178",177,178,18.8731535415872,178,10
"179",178,179,18.9236219848399,179,10
"180",179,180,19.0032893054092,180,10
"181",180,181,19.1175335593791,181,10
"182",181,182,19.2606978132707,182,10
"183",182,183,19.4243663862142,183,10
"184",183,184,19.6005865975947,184,10
"185",184,185,19.7832577678167,185,10
"186",185,186,19.9667422175397,186,10
"187",186,187,20.1452402741715,187,10
"188",187,188,20.312304292114,188,10
"189",188,189,20.4613246325176,189,10
"190",189,190,20.5856916565327,190,10
"191",190,191,20.6822261249394,191,10
"192",191,192,20.7614703970378,192,10
"193",192,193,20.8373972317579,193,10
"194",193,194,20.9216125769316,194,10
"195",194,195,21.0162551359985,195,10
"196",195,196,21.1210968013004,196,10
"197",196,197,21.235909465179,197,10
"198",197,198,21.3579312208089,198,10
"199",198,199,21.474264964696,199,10
"200",199,200,21.5694797941792,200,10
"201",200,201,21.6299239813359,201,10
"202",201,202,21.6490624971991,202,10
"203",202,203,21.62213948754,203,10
"204",203,204,21.5469404105577,204,10
"205",204,205,21.4314159741606,205,10
"206",205,206,21.2860581986848,206,10
"207",206,207,21.1213591044662,207,10
"208",207,208,20.9493791128165,208,10
"209",208,209,20.7884522489498,209,10
"210",209,210,20.6584809390556,210,10
"211",210,211,20.5746304734557,211,10
"212",211,212,20.5331175989995,212,10
"213",212,213,20.5254219266684,213,10
"214",213,214,20.5424084944417,214,10
"215",214,215,20.572484048291,215,10
"216",215,216,20.6034407611857,216,10
"217",216,217,20.6230708060954,217,10
"218",217,218,20.6217087745846,218,10
