"","x","Index","y","Index2","RcrdCnt"
"1",0,1,-0.00977874113808598,1,19
"2",1,2,-0.0050091952244,2,19
"3",2,3,-0.000503611821861772,3,19
"4",3,4,0.00356999175267681,4,19
"5",4,5,0.0070574031819538,5,19
"6",5,6,0.00985963014706701,6,19
"7",6,7,0.0118914853287042,7,19
"8",7,8,0.0130807767484921,8,19
"9",8,9,0.0134072937918134,9,19
"10",9,10,0.0128638211849897,10,19
"11",10,11,0.0114431436543425,11,19
"12",11,12,0.00919063142291768,12,19
"13",12,13,0.00636199670065753,13,19
"14",13,14,0.00326553719422853,14,19
"15",14,15,0.000135701577745329,15,19
"16",15,16,-0.00308845760488475,16,19
"17",16,17,-0.00654173684230626,17,19
"18",17,18,-0.0102518606432865,18,19
"19",18,19,-0.0138182655970841,19,19
"20",19,20,-0.0167333163130804,20,19
"21",20,21,-0.0184893774006566,21,19
"22",21,22,-0.0186956011497739,22,19
"23",22,23,-0.0174282905727116,23,19
"24",23,24,-0.0148805363623289,24,19
"25",24,25,-0.0112246364978233,25,19
"26",25,26,-0.00654971810374676,26,19
"27",26,27,-0.000924115590989616,27,19
"28",27,28,0.00558383662955774,28,19
"29",28,29,0.0128635514074124,29,19
"30",29,30,0.0206354306337212,30,19
"31",30,31,0.0285776234600387,31,19
"32",31,32,0.0363720030839903,32,19
"33",32,33,0.0437153388874854,33,19
"34",33,34,0.0503081242985044,34,19
"35",34,35,0.0559033734020019,35,19
"36",35,36,0.0604641829108279,36,19
"37",36,37,0.0640061701948066,37,19
"38",37,38,0.0665449526237621,38,19
"39",38,39,0.0681445501647313,39,19
"40",39,40,0.0690625931736027,40,19
"41",40,41,0.0696051146034776,41,19
"42",41,42,0.070043212645261,42,19
"43",42,43,0.0705082464410727,43,19
"44",43,44,0.0710966403708364,44,19
"45",44,45,0.0718647845002826,45,19
"46",45,46,0.0727089316383691,46,19
"47",46,47,0.0734853002798608,47,19
"48",47,48,0.0740501089195225,48,19
"49",48,49,0.0742598503867015,49,19
"50",49,50,0.0739721148490754,50,19
"51",50,51,0.0730447668089045,51,19
"52",51,52,0.0714090490856602,52,19
"53",52,53,0.06928971776766,53,19
"54",53,54,0.0669849072604328,54,19
"55",54,55,0.0647927519695073,55,19
"56",55,56,0.0629975506599686,56,19
"57",56,57,0.0618282595351268,57,19
"58",57,58,0.0614999991578477,58,19
"59",58,59,0.062197552746276,59,19
"60",59,60,0.063984354139669,60,19
"61",60,61,0.0668934998325625,61,19
"62",61,62,0.0709389831957875,62,19
"63",62,63,0.0760583851053568,63,19
"64",63,64,0.0821701833135785,64,19
"65",64,65,0.0891928555727607,65,19
"66",65,66,0.0973230005561285,66,19
"67",66,67,0.107869700620575,67,19
"68",67,68,0.122420159043911,68,19
"69",68,69,0.142644126254978,69,19
"70",69,70,0.170541541286747,70,19
"71",70,71,0.20819489032322,71,19
"72",71,72,0.257568944661731,72,19
"73",72,73,0.320157616052946,73,19
"74",73,74,0.397337101360862,74,19
"75",74,75,0.490483597449474,75,19
"76",75,76,0.600676220373374,76,19
"77",76,77,0.727805762949519,77,19
"78",77,78,0.871465937185459,78,19
"79",78,79,1.03095791188049,79,19
"80",79,80,1.20441268300085,80,19
"81",80,81,1.38966870330456,81,19
"82",81,82,1.58456442554961,82,19
"83",82,83,1.78657855417818,83,19
"84",83,84,1.99175080036929,84,19
"85",84,85,2.1957611269861,85,19
"86",85,86,2.39468481403284,86,19
"87",86,87,2.58617841007773,87,19
"88",87,88,2.76829378083001,88,19
"89",88,89,2.94029220031303,89,19
"90",89,90,3.10627257580666,90,19
"91",90,91,3.27154322290488,91,19
"92",91,92,3.44141245720166,92,19
"93",92,93,3.62105864180191,93,19
"94",93,94,3.81514032985422,94,19
"95",94,95,4.02818612201811,95,19
"96",95,96,4.26387496390141,96,19
"97",96,97,4.52248718090528,97,19
"98",97,98,4.80345344337921,98,19
"99",98,99,5.10620442167268,99,19
"100",99,100,5.42945504301713,100,19
"101",100,101,5.76905726217192,101,19
"102",101,102,6.12014729077834,102,19
"103",102,103,6.47637707565653,103,19
"104",103,104,6.82546150434186,104,19
"105",104,105,7.15363119954851,105,19
"106",105,106,7.44960156778692,106,19
"107",106,107,7.71202715075249,107,19
"108",107,108,7.94204727393688,108,19
"109",108,109,8.14080126283172,109,19
"110",109,110,8.31101281983264,110,19
"111",110,111,8.46174315495105,111,19
"112",111,112,8.60363785510238,112,19
"113",112,113,8.74654106180811,113,19
"114",113,114,8.89709113501425,114,19
"115",114,115,9.0611249892729,115,19
"116",115,116,9.24429500129839,116,19
"117",116,117,9.451515396454,117,19
"118",117,118,9.68751586226523,118,19
"119",118,119,9.95702608625759,119,19
"120",119,120,10.2629109947419,120,19
"121",120,121,10.6005764691702,121,19
"122",121,122,10.96356362978,122,19
"123",122,123,11.3438351917052,123,19
"124",123,124,11.7270402496675,124,19
"125",124,125,12.097249493285,125,19
"126",125,126,12.4385336121759,126,19
"127",126,127,12.737940394111,127,19
"128",127,128,12.9944260194706,128,19
"129",128,129,13.2099237667877,129,19
"130",129,130,13.3888519322906,130,19
"131",130,131,13.5455688829899,131,19
"132",131,132,13.6969180035915,132,19
"133",132,133,13.8565649595655,133,19
"134",133,134,14.0254645394388,134,19
"135",134,135,14.2013938125023,135,19
"136",135,136,14.3821298480471,136,19
"137",136,137,14.5661989600823,137,19
"138",137,138,14.7551244414898,138,19
"139",138,139,14.9511788298695,139,19
"140",139,140,15.1568563785446,140,19
"141",140,141,15.3755382037318,141,19
"142",141,142,15.6108271373707,142,19
"143",142,143,15.8650890188187,143,19
"144",143,144,16.1357417171032,144,19
"145",144,145,16.418966108669,145,19
"146",145,146,16.7109430699611,146,19
"147",146,147,17.006326810025,147,19
"148",147,148,17.2936648683099,148,19
"149",148,149,17.5599781168656,149,19
"150",149,150,17.7955112860926,150,19
"151",150,151,18.0034045397938,151,19
"152",151,152,18.190021900123,152,19
"153",152,153,18.3617273892336,153,19
"154",153,154,18.5245549755261,154,19
"155",154,155,18.6832184123883,155,19
"156",155,156,18.842101399455,156,19
"157",156,157,19.0048021133555,157,19
"158",157,158,19.1717766386979,158,19
"159",158,159,19.342695537085,159,19
"160",159,160,19.5168127735017,160,19
"161",160,161,19.6917159264604,161,19
"162",161,162,19.8645759778556,162,19
"163",162,163,20.0325639095817,163,19
"164",163,164,20.1930009939132,164,19
"165",164,165,20.3438096646448,165,19
"166",165,166,20.4830626459511,166,19
"167",166,167,20.6094899703007,167,19
"168",167,168,20.7244509033376,168,19
"169",168,169,20.8299620189995,169,19
"170",169,170,20.9281957489529,170,19
"171",170,171,21.0219479557791,171,19
"172",171,172,21.1141703597878,172,19
"173",172,173,21.2078146812889,173,19
"174",173,174,21.3054404185151,174,19
"175",174,175,21.4080381813915,175,19
"176",175,176,21.516206357766,176,19
"177",176,177,21.6307052963496,177,19
"178",177,178,21.7529431893057,178,19
"179",178,179,21.8844901896606,179,19
"180",179,180,22.0269164504407,180,19
"181",180,181,22.1803185616631,181,19
"182",181,182,22.3388988613077,182,19
"183",182,183,22.4953861243448,183,19
"184",183,184,22.6423189096068,184,19
"185",184,185,22.771474911373,185,19
"186",185,186,22.8744416077845,186,19
"187",186,187,22.9453079432461,187,19
"188",187,188,22.9881687272179,188,19
"189",188,189,23.0096202354236,189,19
"190",189,190,23.0162587435873,190,19
"191",190,191,23.0151651521497,191,19
"192",191,192,23.0153588604203,192,19
"193",192,193,23.0263438924256,193,19
"194",193,194,23.0552244183955,194,19
"195",194,195,23.0995051933731,195,19
"196",195,196,23.1542911186048,196,19
"197",196,197,23.214687095337,197,19
"198",197,198,23.2756366178437,198,19
"199",198,199,23.3314375525086,199,19
"200",199,200,23.3762263587425,200,19
"201",200,201,23.4047104191875,201,19
"202",201,202,23.4138808094084,202,19
"203",202,203,23.4012995282008,203,19
"204",203,204,23.3660382846043,204,19
"205",204,205,23.3132076286334,205,19
"206",205,206,23.2494278205468,206,19
"207",206,207,23.1813191206029,207,19
"208",207,208,23.1146800639682,208,19
"209",208,209,23.0520222854417,209,19
"210",209,210,22.9950356947302,210,19
"211",210,211,22.9441561765935,211,19
"212",211,212,22.894803516002,212,19
"213",212,213,22.8411434729788,213,19
"214",213,214,22.7789240310289,214,19
"215",214,215,22.7102220675841,215,19
"216",215,216,22.638696683558,216,19
"217",216,217,22.5680069798641,217,19
"218",217,218,22.5004666551772,218,19
"219",218,219,22.4330077992161,219,19
"220",219,220,22.3612170994607,220,19
"221",220,221,22.281306140602,221,19
"222",221,222,22.1919860961761,222,19
"223",222,223,22.0925930369299,223,19
"224",223,224,21.9824630336105,224,19
"225",224,225,21.860846721838,225,19
"226",225,226,21.7266529967251,226,19
"227",226,227,21.5787053182573,227,19
"228",227,228,21.4175094719499,228,19
"229",228,229,21.250300545435,229,19
"230",229,230,21.0859959518745,230,19
"231",230,231,20.9327665420393,231,19
"232",231,232,20.7957969171371,232,19
"233",232,233,20.6795251159847,233,19
"234",233,234,20.588389177399,234,19
"235",234,235,20.5239063452703,235,19
"236",235,236,20.475910683783,236,19
"237",236,237,20.4313154621949,237,19
"238",237,238,20.3796651036599,238,19
"239",238,239,20.3210286469165,239,19
"240",239,240,20.2581062845993,240,19
"241",240,241,20.19332342716,241,19
"242",241,242,20.128006356318,242,19
"243",242,243,20.0632065716098,243,19
"244",243,244,19.9999755725718,244,19
"245",244,245,19.9376086828329,245,19
"246",245,246,19.8683765223914,246,19
"247",246,247,19.7827935353379,247,19
"248",247,248,19.6731871794786,248,19
"249",248,249,19.5391369674822,249,19
"250",249,250,19.3820354257329,250,19
"251",250,251,19.2032750806151,251,19
"252",251,252,19.0050735692073,252,19
"253",252,253,18.7929489713659,253,19
"254",253,254,18.5732444776417,254,19
"255",254,255,18.3518393883736,255,19
"256",255,256,18.1327574430544,256,19
"257",256,257,17.9195584909654,257,19
"258",257,258,17.714384048404,258,19
"259",258,259,17.5137022997326,259,19
"260",259,260,17.3125630963301,260,19
"261",260,261,17.1060162895754,261,19
"262",261,262,16.8897561032028,262,19
"263",262,263,16.6620542503691,263,19
"264",263,264,16.4218268165864,264,19
"265",264,265,16.1679240842809,265,19
"266",265,266,15.8989331235336,266,19
"267",266,267,15.6133752013394,267,19
"268",267,268,15.3106040450302,268,19
"269",268,269,14.993303223287,269,19
"270",269,270,14.6649887651279,270,19
"271",270,271,14.3291766995709,271,19
"272",271,272,13.9897646752684,272,19
"273",272,273,13.6521768194098,273,19
"274",273,274,13.3222188788186,274,19
"275",274,275,13.0049831274538,275,19
"276",275,276,12.7027079478168,276,19
"277",276,277,12.4169182495441,277,19
"278",277,278,12.1491389422725,278,19
"279",278,279,11.8996456604267,279,19
"280",279,280,11.663716937584,280,19
"281",280,281,11.4353820321098,281,19
"282",281,282,11.2084281069033,282,19
"283",282,283,10.9756739429987,283,19
"284",283,284,10.7296962259641,284,19
"285",284,285,10.4656249823791,285,19
"286",285,286,10.1888036028688,286,19
"287",286,287,9.90712881907,287,19
"288",287,288,9.62849736261924,288,19
"289",288,289,9.35928100905515,289,19
"290",289,290,9.09975170952407,290,19
"291",290,291,8.84865645907425,291,19
"292",291,292,8.6045564985602,292,19
"293",292,293,8.36527005206135,293,19
"294",293,294,8.12842958946342,294,19
"295",294,295,7.89166758065209,295,19
"296",295,296,7.65273438114788,296,19
"297",296,297,7.40985188901065,297,19
"298",297,298,7.16135988793508,298,19
"299",298,299,6.90688653451702,299,19
"300",299,300,6.65121347695696,300,19
"301",300,301,6.40041073635656,301,19
"302",301,302,6.15997594682499,302,19
"303",302,303,5.93311719450143,303,19
"304",303,304,5.72247017853259,304,19
"305",304,305,5.53067059806513,305,19
"306",305,306,5.35865163077182,306,19
"307",306,307,5.20053636842957,307,19
"308",307,308,5.04874538134137,308,19
"309",308,309,4.8956046016368,309,19
"310",309,310,4.73306140875189,310,19
"311",310,311,4.55296854394925,311,19
"312",311,312,4.34988184801413,312,19
"313",312,313,4.12916955982231,313,19
"314",313,314,3.89890301777217,314,19
"315",314,315,3.6671535602621,315,19
"316",315,316,3.44091512321647,316,19
"317",316,317,3.22287203266352,317,19
"318",317,318,3.01463121215747,318,19
"319",318,319,2.81676437589033,319,19
"320",319,320,2.62570240060516,320,19
"321",320,321,2.43684095368284,321,19
"322",321,322,2.2455757025042,322,19
"323",322,323,2.04914132893877,323,19
"324",323,324,1.85212857281064,324,19
"325",324,325,1.66096718843258,325,19
"326",325,326,1.48130104812202,326,19
"327",326,327,1.31563049621502,327,19
"328",327,328,1.1656699950523,328,19
"329",328,329,1.03266836500122,329,19
"330",329,330,0.916011858535564,330,19
"331",330,331,0.814621086155738,331,19
"332",331,332,0.727416658362149,332,19
"333",332,333,0.653251254544768,333,19
"334",333,334,0.590705829651787,334,19
"335",334,335,0.538293407520958,335,19
"336",335,336,0.494444509502216,336,19
"337",336,337,0.457259646994227,337,19
"338",337,338,0.424756828907836,338,19
"339",338,339,0.395256273514915,339,19
"340",339,340,0.368287036531432,340,19
"341",340,341,0.34368038303438,341,19
"342",341,342,0.32126757810075,342,19
"343",342,343,0.300740482684234,343,19
"344",343,344,0.281233341245303,344,19
"345",344,345,0.261740994121128,345,19
"346",345,346,0.241467389058368,346,19
"347",346,347,0.220452903441644,347,19
"348",347,348,0.198947022065068,348,19
"349",348,349,0.177199229722751,349,19
"350",349,350,0.155509352888009,350,19
"351",350,351,0.134378584750984,351,19
"352",351,352,0.114358460181019,352,19
"353",352,353,0.0959676938398937,353,19
"354",353,354,0.0795937195591023,354,19
"355",354,355,0.0655911509625717,355,19
"356",355,356,0.0541239662551788,356,19
"357",356,357,0.0445936019656032,357,19
"358",357,358,0.036210859203475,358,19
"359",358,359,0.0281865390784244,359,19
"360",359,360,0.0198708454898196,360,19
"361",360,361,0.0111715934959813,361,19
"362",361,362,0.00213600094496782,362,19
"363",362,363,-0.00717152137302718,363,19
"364",363,364,-0.0166177908992743,364,19
"365",364,365,-0.0260524321329095,365,19
"366",365,366,-0.0353250695730689,366,19
