"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,7.93527773116964,1,4
"2",1,2,8.22789683295547,2,4
"3",2,3,8.51928352631833,3,4
"4",3,4,8.80901988511562,4,4
"5",4,5,9.09463518285227,5,4
"6",5,6,9.36544749162346,6,4
"7",6,7,9.60872208317192,7,4
"8",7,8,9.812402373989,8,4
"9",8,9,9.96714435956052,9,4
"10",9,10,10.0642821801209,10,4
"11",10,11,10.0951499759046,11,4
"12",11,12,10.0578045372468,12,4
"13",12,13,9.97719325488612,13,4
"14",13,14,9.8849861696618,14,4
"15",14,15,9.80538049626246,15,4
"16",15,16,9.73268214477389,16,4
"17",16,17,9.65372419913118,17,4
"18",17,18,9.55843017997749,18,4
"19",18,19,9.44908535478837,19,4
"20",19,20,9.33106542774742,20,4
"21",20,21,9.20974610303828,21,4
"22",21,22,9.09275854825613,22,4
"23",22,23,8.99675578464239,23,4
"24",23,24,8.94064629685004,24,4
"25",24,25,8.93927340259964,25,4
"26",25,26,8.99121975188199,26,4
"27",26,27,9.09100282775549,27,4
"28",27,28,9.23314011327851,28,4
"29",28,29,9.40920753600277,29,4
"30",29,30,9.5990148014532,30,4
"31",30,31,9.77943005964805,31,4
"32",31,32,9.93081593837092,32,4
"33",32,33,10.0475129764667,33,4
"34",33,34,10.1273561905457,34,4
"35",34,35,10.1696607683047,35,4
"36",35,36,10.1796625817867,36,4
"37",36,37,10.1640776741214,37,4
"38",37,38,10.1296220884384,38,4
"39",38,39,10.0817123299755,39,4
"40",39,40,10.0205667524027,40,4
"41",40,41,9.94510417149827,41,4
"42",41,42,9.85524900644922,42,4
"43",42,43,9.75494809007755,43,4
"44",43,44,9.64915385861402,44,4
"45",44,45,9.54131287542664,45,4
"46",45,46,9.42884821243243,46,4
"47",46,47,9.30767706868566,47,4
"48",47,48,9.17371664324059,48,4
"49",48,49,9.02612480785373,49,4
"50",49,50,8.87702212509048,50,4
"51",50,51,8.74176983021852,51,4
"52",51,52,8.63415403776539,52,4
"53",52,53,8.56166037929827,53,4
"54",53,54,8.53019936564424,54,4
"55",54,55,8.54568150763039,55,4
"56",55,56,8.61004736005655,56,4
"57",56,57,8.7093576536136,57,4
"58",57,58,8.82570316296517,58,4
"59",58,59,8.94444770426917,59,4
"60",59,60,9.06404725966062,60,4
"61",60,61,9.18623085276879,61,4
"62",61,62,9.31357197740079,62,4
"63",62,63,9.45202200807496,63,4
"64",63,64,9.60837678948744,64,4
"65",64,65,9.78943216633438,65,4
"66",65,66,9.99777756312501,66,4
"67",66,67,10.2191767236209,67,4
"68",67,68,10.4351869713966,68,4
"69",68,69,10.6291876402865,69,4
"70",69,70,10.7918461051638,70,4
"71",70,71,10.9156517511614,71,4
"72",71,72,10.9963288424197,72,4
"73",72,73,11.0425411591102,73,4
"74",73,74,11.0661873604116,74,4
"75",74,75,11.079166105503,75,4
"76",75,76,11.0905775572747,76,4
"77",76,77,11.0983278934622,77,4
"78",77,78,11.0975247955127,78,4
"79",78,79,11.0860406478283,79,4
"80",79,80,11.0728066466325,80,4
"81",80,81,11.0695186911041,81,4
"82",81,82,11.0878726804217,82,4
"83",82,83,11.13868085887,83,4
"84",83,84,11.2292208511575,84,4
"85",84,85,11.3658866270988,85,4
"86",85,86,11.5502215077841,86,4
"87",86,87,11.7643662194064,87,4
"88",87,88,11.9856108394347,88,4
"89",88,89,12.1941621290587,89,4
"90",89,90,12.3818935843519,90,4
"91",90,91,12.5435953851087,91,4
"92",91,92,12.6740577111233,92,4
"93",92,93,12.7690636088531,93,4
"94",93,94,12.8283675914064,94,4
"95",94,95,12.8527170385546,95,4
"96",95,96,12.8439392379817,96,4
"97",96,97,12.8081811090219,97,4
"98",97,98,12.7526694789224,98,4
"99",98,99,12.6846311749301,99,4
"100",99,100,12.611920443936,100,4
"101",100,101,12.5449012114067,101,4
"102",101,102,12.4945648224528,102,4
"103",102,103,12.471157961951,103,4
"104",103,104,12.481948673841,104,4
"105",104,105,12.5334603418285,105,4
"106",105,106,12.6303496189768,106,4
"107",106,107,12.7698062357797,107,4
"108",107,108,12.9471531920884,108,4
"109",108,109,13.1577134877543,109,4
"110",109,110,13.3937798280112,110,4
"111",110,111,13.6355237396225,111,4
"112",111,112,13.8600864547342,112,4
"113",112,113,14.048070047609,113,4
"114",113,114,14.1939199609762,114,4
"115",114,115,14.2955424796819,115,4
"116",115,116,14.3550461744415,116,4
"117",116,117,14.391348759447,117,4
"118",117,118,14.42757023476,118,4
"119",118,119,14.4868306004419,119,4
"120",119,120,14.5854974597178,120,4
"121",120,121,14.7129288284666,121,4
"122",121,122,14.851730325731,122,4
"123",122,123,14.9867853613345,123,4
"124",123,124,15.1120885082248,124,4
"125",124,125,15.2239121301305,125,4
"126",125,126,15.31852859078,126,4
"127",126,127,15.391849258718,127,4
"128",127,128,15.4383415217524,128,4
"129",128,129,15.4521117725074,129,4
"130",129,130,15.4288008947282,130,4
"131",130,131,15.3701877366463,131,4
"132",131,132,15.2795856376144,132,4
"133",132,133,15.1633374114369,133,4
"134",133,134,15.0399037697236,134,4
"135",134,135,14.9307748985363,135,4
"136",135,136,14.8574409839365,136,4
"137",136,137,14.8369915411139,137,4
"138",137,138,14.8689134017712,138,4
"139",138,139,14.9482927267393,139,4
"140",139,140,15.0672666604525,140,4
"141",140,141,15.206176281759,141,4
"142",141,142,15.3424136531104,142,4
"143",142,143,15.4594667602568,143,4
"144",143,144,15.5652072821436,144,4
"145",144,145,15.6736028210147,145,4
"146",145,146,15.7986209791143,146,4
"147",146,147,15.950568235984,147,4
"148",147,148,16.1251065803566,148,4
"149",148,149,16.3142368782626,149,4
"150",149,150,16.5091078903971,150,4
"151",150,151,16.6974599561135,151,4
"152",151,152,16.8661813094297,152,4
"153",152,153,17.0021601843639,153,4
"154",153,154,17.0948461313911,154,4
"155",154,155,17.1439339668156,155,4
"156",155,156,17.1516798233989,156,4
"157",156,157,17.1255393195035,157,4
"158",157,158,17.0937660158962,158,4
"159",158,159,17.0898129589452,159,4
"160",159,160,17.1401580723913,160,4
"161",160,161,17.2433787894674,161,4
"162",161,162,17.3910774207792,162,4
"163",162,163,17.5748562769323,163,4
"164",163,164,17.7871193416535,164,4
"165",164,165,18.0234772911541,165,4
"166",165,166,18.280342474766,166,4
"167",166,167,18.5517118313956,167,4
"168",167,168,18.8219206582452,168,4
"169",168,169,19.0728888420913,169,4
"170",169,170,19.2880618784217,170,4
"171",170,171,19.4569876975697,171,4
"172",171,172,19.5707398385799,172,4
"173",172,173,19.620391840497,173,4
"174",173,174,19.6009724211687,174,4
"175",174,175,19.5233310136546,175,4
"176",175,176,19.4022722298171,176,4
"177",176,177,19.2539394264888,177,4
"178",177,178,19.099830940382,178,4
"179",178,179,18.962783853179,179,4
"180",179,180,18.8656352465618,180,4
"181",180,181,18.8255537082276,181,4
"182",181,182,18.8370338499321,182,4
"183",182,183,18.8889017894458,183,4
"184",183,184,18.9707071361162,184,4
"185",184,185,19.0748934655981,185,4
"186",185,186,19.1946278451233,186,4
"187",186,187,19.3238864014418,187,4
"188",187,188,19.4598814993766,188,4
"189",188,189,19.6006345632689,189,4
"190",189,190,19.7441670174599,190,4
"191",190,191,19.8877609256528,191,4
"192",191,192,20.0257409089989,192,4
"193",192,193,20.1516922280117,193,4
"194",193,194,20.2602742575868,194,4
"195",194,195,20.3504428301494,195,4
"196",195,196,20.4222278925068,196,4
"197",196,197,20.4756593914668,197,4
"198",197,198,20.5124833706117,198,4
"199",198,199,20.541310260625,199,4
"200",199,200,20.572466588965,200,4
"201",200,201,20.6133670982484,201,4
"202",201,202,20.6597793917251,202,4
"203",202,203,20.704559287803,203,4
"204",203,204,20.7411749520961,204,4
"205",204,205,20.765543939041,205,4
"206",205,206,20.7741961502799,206,4
"207",206,207,20.7636614874552,207,4
"208",207,208,20.7324123099753,208,4
"209",208,209,20.686690808313,209,4
"210",209,210,20.6346816307074,210,4
"211",210,211,20.5833583361322,211,4
"212",211,212,20.5348501265006,212,4
"213",212,213,20.4900751144606,213,4
"214",213,214,20.4491034548966,214,4
"215",214,215,20.4086134716372,215,4
"216",215,216,20.3644355307473,216,4
"217",216,217,20.3123999982919,217,4
"218",217,218,20.2506847037417,218,4
"219",218,219,20.1868573301906,219,4
"220",219,220,20.1308330241385,220,4
"221",220,221,20.090338048993,221,4
"222",221,222,20.0643431357929,222,4
"223",222,223,20.049630132485,223,4
"224",223,224,20.0429808870161,224,4
"225",224,225,20.0408202392805,225,4
"226",225,226,20.0381449969631,226,4
"227",226,227,20.0295949596964,227,4
"228",227,228,20.0110373609379,228,4
"229",228,229,19.9832491694434,229,4
"230",229,230,19.9482347877937,230,4
"231",230,231,19.9083993177603,231,4
"232",231,232,19.8677506578769,232,4
"233",232,233,19.8306974058677,233,4
"234",233,234,19.801648159457,234,4
"235",234,235,19.7836437201168,235,4
"236",235,236,19.7742537043087,236,4
"237",236,237,19.7696799322422,237,4
"238",237,238,19.766780825935,238,4
"239",238,239,19.7650412146387,239,4
"240",239,240,19.7646025294134,240,4
"241",240,241,19.7654269510773,241,4
"242",241,242,19.7667596594813,242,4
"243",242,243,19.7676665842345,243,4
"244",243,244,19.7672136549461,244,4
"245",244,245,19.7620260924724,245,4
"246",245,246,19.7389662826587,246,4
"247",246,247,19.6824559025972,247,4
"248",247,248,19.5814073952368,248,4
"249",248,249,19.4426962669512,249,4
"250",249,250,19.2776887899706,250,4
"251",250,251,19.097751236525,251,4
"252",251,252,18.9117263961205,252,4
"253",252,253,18.7183631273669,253,4
"254",253,254,18.5138868061498,254,4
"255",254,255,18.2955699170302,255,4
"256",255,256,18.0648733792686,256,4
"257",256,257,17.8243052208009,257,4
"258",257,258,17.5781632474063,258,4
"259",258,259,17.3379043762371,259,4
"260",259,260,17.1167753022888,260,4
"261",260,261,16.928022720557,261,4
"262",261,262,16.7820043278771,262,4
"263",262,263,16.677521828444,263,4
"264",263,264,16.6104879282922,264,4
"265",264,265,16.5750346160328,265,4
"266",265,266,16.5581710105825,266,4
"267",266,267,16.5451255134342,267,4
"268",267,268,16.5217876196353,268,4
"269",268,269,16.4766911984491,269,4
"270",269,270,16.3990312126931,270,4
"271",270,271,16.2780026251849,271,4
"272",271,272,16.107961813162,272,4
"273",272,273,15.9039108115418,273,4
"274",273,274,15.6860130696619,274,4
"275",274,275,15.4720785064272,275,4
"276",275,276,15.2705029190124,276,4
"277",276,277,15.0873285741597,277,4
"278",277,278,14.928597738611,278,4
"279",278,279,14.7971231879382,279,4
"280",279,280,14.682799733031,280,4
"281",280,281,14.5722926936089,281,4
"282",281,282,14.4552673394971,282,4
"283",282,283,14.3333887409451,283,4
"284",283,284,14.211321918308,284,4
"285",284,285,14.093560229732,285,4
"286",285,286,13.9839103845257,286,4
"287",286,287,13.8860074297885,287,4
"288",287,288,13.80348641262,288,4
"289",288,289,13.7388046059516,289,4
"290",289,290,13.6897081860432,290,4
"291",290,291,13.6527655549864,291,4
"292",291,292,13.6260098796416,292,4
"293",292,293,13.6133333859426,293,4
"294",293,294,13.6200930645915,294,4
"295",294,295,13.6516459062906,295,4
"296",295,296,13.7097215559243,296,4
"297",296,297,13.7815402751066,297,4
"298",297,298,13.8506949796336,298,4
"299",298,299,13.9021787252827,299,4
"300",299,300,13.9265851277566,300,4
"301",300,301,13.9159079427391,301,4
"302",301,302,13.8640422339186,302,4
"303",302,303,13.7724882970004,303,4
"304",303,304,13.6446477356942,304,4
"305",304,305,13.4839221537095,305,4
"306",305,306,13.294868858841,306,4
"307",306,307,13.0866679752224,307,4
"308",307,308,12.869655331072,308,4
"309",308,309,12.6542016097065,309,4
"310",309,310,12.4508169148346,310,4
"311",310,311,12.2700462052632,311,4
"312",311,312,12.1191396242381,312,4
"313",312,313,11.9921680527614,313,4
"314",313,314,11.8799075562743,314,4
"315",314,315,11.7731342002178,315,4
"316",315,316,11.6636849197873,316,4
"317",316,317,11.5476401291948,317,4
"318",317,318,11.4221411124064,318,4
"319",318,319,11.2884042345869,319,4
"320",319,320,11.1639461856958,320,4
"321",320,321,11.0703587368914,321,4
"322",321,322,11.0292336593319,322,4
"323",322,323,11.0549404956855,323,4
"324",323,324,11.1329598746611,324,4
"325",324,325,11.2415501964777,325,4
"326",325,326,11.3576461651054,326,4
"327",326,327,11.4528876995194,327,4
"328",327,328,11.497591022446,328,4
"329",328,329,11.4686944718763,329,4
"330",329,330,11.3696248468601,330,4
"331",330,331,11.2104310617119,331,4
"332",331,332,11.0011620307461,332,4
"333",332,333,10.7535024507921,333,4
"334",333,334,10.4856801487376,334,4
"335",334,335,10.2175587339854,335,4
"336",335,336,9.96715540054767,336,4
"337",336,337,9.74510168087453,337,4
"338",337,338,9.56018269202575,338,4
"339",338,339,9.41898519840698,339,4
"340",339,340,9.31930255380758,340,4
"341",340,341,9.25672975936283,341,4
"342",341,342,9.22686181620799,342,4
"343",342,343,9.22448705049999,343,4
"344",343,344,9.24116708848229,344,4
"345",344,345,9.26765688142002,345,4
"346",345,346,9.29439620046582,346,4
"347",346,347,9.31056409632245,347,4
"348",347,348,9.30502443958022,348,4
"349",348,349,9.26664110082944,349,4
"350",349,350,9.18856706698057,350,4
"351",350,351,9.0811117902248,351,4
"352",351,352,8.95887383907347,352,4
"353",352,353,8.83440989860546,353,4
"354",353,354,8.71210912016977,354,4
"355",354,355,8.59431877168289,355,4
"356",355,356,8.4824420118359,356,4
"357",356,357,8.37410556241822,357,4
"358",357,358,8.26599203599384,358,4
"359",358,359,8.15478404512674,359,4
"360",359,360,8.04008591927635,360,4
"361",360,361,7.93318885548379,361,4
"362",361,362,7.84830576768561,362,4
"363",362,363,7.79564308825162,363,4
"364",363,364,7.76938132328464,364,4
"365",364,365,7.75969449732072,365,4
"366",365,366,7.75675663489593,366,4
