"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd"
"102","USGS","02292900",2014-08-10,29.7,"A",NA,NA
"103","USGS","02292900",2014-08-11,30.1,"A",NA,NA
"104","USGS","02292900",2014-08-12,30.6,"A",NA,NA
"105","USGS","02292900",2014-08-13,30.6,"A",NA,NA
"106","USGS","02292900",2014-08-14,30.3,"A",NA,NA
"107","USGS","02292900",2014-08-15,29.4,"A",NA,NA
"108","USGS","02292900",2014-08-16,28.8,"A",NA,NA
"109","USGS","02292900",2014-08-17,29,"A",NA,NA
"110","USGS","02292900",2014-08-18,30.1,"A",NA,NA
"111","USGS","02292900",2014-08-19,31,"A",NA,NA
"112","USGS","02292900",2014-08-20,31.8,"A",NA,NA
"113","USGS","02292900",2014-08-21,32.5,"A",NA,NA
"114","USGS","02292900",2014-08-22,33.8,"A",NA,NA
"115","USGS","02292900",2014-08-23,33.7,"A",NA,NA
"116","USGS","02292900",2014-08-26,31.2,"A",NA,NA
"117","USGS","02292900",2014-08-27,31.9,"A",NA,NA
"118","USGS","02292900",2014-08-28,31.7,"A",NA,NA
"119","USGS","02292900",2014-08-29,30.9,"A",NA,NA
"120","USGS","02292900",2014-08-30,30.4,"A",NA,NA
"121","USGS","02292900",2014-08-31,30.3,"A",NA,NA
"122","USGS","02292900",2014-09-01,30.5,"A",NA,NA
"123","USGS","02292900",2014-09-02,30.8,"A",NA,NA
"124","USGS","02292900",2014-09-03,30.7,"A",NA,NA
"125","USGS","02292900",2014-09-04,30.6,"A",NA,NA
"126","USGS","02292900",2014-09-05,30.6,"A",NA,NA
"127","USGS","02292900",2014-09-06,29.9,"A",NA,NA
"128","USGS","02292900",2014-09-07,29.6,"A",NA,NA
"129","USGS","02292900",2014-09-08,29.7,"A",NA,NA
"130","USGS","02292900",2014-09-09,29.9,"A",NA,NA
"131","USGS","02292900",2014-09-10,29.7,"A",NA,NA
"132","USGS","02292900",2014-09-11,29.9,"A",NA,NA
"133","USGS","02292900",2014-09-12,29.5,"A",NA,NA
"134","USGS","02292900",2014-09-13,29.3,"A",NA,NA
"135","USGS","02292900",2014-09-14,29.1,"A",NA,NA
"136","USGS","02292900",2014-09-15,29.7,"A",NA,NA
"137","USGS","02292900",2014-09-16,29.6,"A",NA,NA
"138","USGS","02292900",2014-09-17,28.9,"A",NA,NA
"139","USGS","02292900",2014-09-18,30,"A",NA,NA
"140","USGS","02292900",2014-09-19,29.5,"A",NA,NA
"141","USGS","02292900",2014-09-20,28.1,"A",NA,NA
"142","USGS","02292900",2014-09-21,28.3,"A",NA,NA
"143","USGS","02292900",2014-09-22,28.2,"A",NA,NA
"144","USGS","02292900",2014-09-23,27.9,"A",NA,NA
"145","USGS","02292900",2014-09-24,27.9,"A",NA,NA
"146","USGS","02292900",2014-09-25,28.2,"A",NA,NA
"147","USGS","02292900",2014-09-26,28,"A",NA,NA
"148","USGS","02292900",2014-09-27,27.7,"A",NA,NA
"149","USGS","02292900",2014-09-28,27.7,"A",NA,NA
"150","USGS","02292900",2014-09-29,27.8,"A",NA,NA
"151","USGS","02292900",2014-09-30,28,"A",NA,NA
"152","USGS","02292900",2014-10-01,28.2,"A",NA,NA
"153","USGS","02292900",2014-10-02,28.7,"A",NA,NA
"154","USGS","02292900",2014-10-03,29.1,"A",NA,NA
"155","USGS","02292900",2014-10-04,28.8,"A",NA,NA
"156","USGS","02292900",2014-10-05,28.5,"A",NA,NA
"157","USGS","02292900",2014-10-06,27.9,"A",NA,NA
"158","USGS","02292900",2014-10-07,27.6,"A",NA,NA
"159","USGS","02292900",2014-10-08,27.6,"A",NA,NA
"160","USGS","02292900",2014-10-09,27.7,"A",NA,NA
"161","USGS","02292900",2014-10-10,27.6,"A",NA,NA
"162","USGS","02292900",2014-10-11,27.9,"A",NA,NA
"163","USGS","02292900",2014-10-12,28.1,"A",NA,NA
"164","USGS","02292900",2014-10-13,28,"A",NA,NA
"165","USGS","02292900",2014-10-14,28.3,"A",NA,NA
"166","USGS","02292900",2014-10-15,27.9,"A",NA,NA
"167","USGS","02292900",2014-10-16,27.4,"A",NA,NA
"168","USGS","02292900",2014-10-17,27.2,"A",NA,NA
"169","USGS","02292900",2014-10-18,27.2,"A",NA,NA
"170","USGS","02292900",2014-10-19,27.4,"A",NA,NA
"171","USGS","02292900",2014-10-20,27.6,"A",NA,NA
"172","USGS","02292900",2014-10-21,27.5,"A",NA,NA
"173","USGS","02292900",2014-10-22,27.4,"A",NA,NA
"174","USGS","02292900",2014-10-23,27.2,"A",NA,NA
"175","USGS","02292900",2014-10-24,26.4,"A",NA,NA
"176","USGS","02292900",2014-10-25,26.2,"A",NA,NA
"177","USGS","02292900",2014-10-26,25.9,"A",NA,NA
"178","USGS","02292900",2014-10-27,25.9,"A",NA,NA
"179","USGS","02292900",2014-10-28,25.8,"A",NA,NA
"180","USGS","02292900",2014-10-29,26.1,"A",NA,NA
"181","USGS","02292900",2014-10-30,26.1,"A",NA,NA
"182","USGS","02292900",2014-10-31,25.5,"A",NA,NA
"183","USGS","02292900",2014-11-01,25,"A",NA,NA
"184","USGS","02292900",2014-11-02,24.3,"A",NA,NA
"185","USGS","02292900",2014-11-03,23.7,"A",NA,NA
"186","USGS","02292900",2014-11-04,23.4,"A",NA,NA
"187","USGS","02292900",2014-11-05,23.4,"A",NA,NA
"188","USGS","02292900",2014-11-06,24,"A",NA,NA
"189","USGS","02292900",2014-11-07,23.9,"A",NA,NA
"190","USGS","02292900",2014-11-08,23.7,"A",NA,NA
"191","USGS","02292900",2014-11-09,23,"A",NA,NA
"192","USGS","02292900",2014-11-10,22.8,"A",NA,NA
"193","USGS","02292900",2014-11-11,22.6,"A",NA,NA
"194","USGS","02292900",2014-11-12,22.7,"A",NA,NA
"195","USGS","02292900",2014-11-13,22.5,"A",NA,NA
"196","USGS","02292900",2014-11-14,22.4,"A",NA,NA
"197","USGS","02292900",2014-11-15,22.5,"A",NA,NA
"198","USGS","02292900",2014-11-16,22.7,"A",NA,NA
"199","USGS","02292900",2014-11-17,23.2,"A",NA,NA
"200","USGS","02292900",2014-11-18,22.6,"A",NA,NA
"201","USGS","02292900",2014-11-19,21.2,"A",NA,NA
"202","USGS","02292900",2014-11-20,21,"A",NA,NA
"203","USGS","02292900",2014-11-21,20.8,"A",NA,NA
"204","USGS","02292900",2014-11-22,20.8,"A",NA,NA
"205","USGS","02292900",2014-11-23,21.6,"A",NA,NA
"206","USGS","02292900",2014-11-24,22.9,"A",NA,NA
"207","USGS","02292900",2014-11-25,24,"A",NA,NA
"208","USGS","02292900",2014-11-26,22.5,"A",NA,NA
"209","USGS","02292900",2014-11-27,21.2,"A",NA,NA
"210","USGS","02292900",2014-11-28,20.5,"A",NA,NA
"211","USGS","02292900",2014-11-29,20.2,"A",NA,NA
"212","USGS","02292900",2014-11-30,20.3,"A",NA,NA
"213","USGS","02292900",2014-12-01,20.4,"A",NA,NA
"214","USGS","02292900",2014-12-02,20.7,"A",NA,NA
"215","USGS","02292900",2014-12-03,20.9,"A",NA,NA
"216","USGS","02292900",2014-12-04,21.1,"A",NA,NA
"217","USGS","02292900",2014-12-05,21.3,"A",NA,NA
"218","USGS","02292900",2014-12-06,21.6,"A",NA,NA
"219","USGS","02292900",2014-12-07,21.6,"A",NA,NA
"220","USGS","02292900",2014-12-08,21.4,"A",NA,NA
"221","USGS","02292900",2014-12-09,21.1,"A",NA,NA
"222","USGS","02292900",2014-12-10,20.5,"A",NA,NA
"223","USGS","02292900",2014-12-11,20.2,"A",NA,NA
"224","USGS","02292900",2014-12-12,19.8,"A",NA,NA
"225","USGS","02292900",2014-12-13,19.6,"A",NA,NA
"226","USGS","02292900",2014-12-14,19.5,"A",NA,NA
"227","USGS","02292900",2014-12-15,19.2,"A",NA,NA
"228","USGS","02292900",2014-12-16,18.9,"A",NA,NA
"229","USGS","02292900",2014-12-17,18.8,"A",NA,NA
"230","USGS","02292900",2014-12-18,18.8,"A",NA,NA
"231","USGS","02292900",2014-12-19,19.1,"A",NA,NA
"232","USGS","02292900",2014-12-20,19.5,"A",NA,NA
"233","USGS","02292900",2014-12-21,19.8,"A",NA,NA
"234","USGS","02292900",2014-12-22,20.5,"A",NA,NA
"235","USGS","02292900",2014-12-23,21.1,"A",NA,NA
"236","USGS","02292900",2014-12-24,21.6,"A",NA,NA
"237","USGS","02292900",2014-12-25,21.3,"A",NA,NA
"238","USGS","02292900",2014-12-26,20.8,"A",NA,NA
"239","USGS","02292900",2014-12-27,20.9,"A",NA,NA
"240","USGS","02292900",2014-12-28,21.1,"A",NA,NA
"241","USGS","02292900",2014-12-29,21.4,"A",NA,NA
"242","USGS","02292900",2014-12-30,21.3,"A",NA,NA
"243","USGS","02292900",2014-12-31,21.6,"A",NA,NA
"244","USGS","02292900",2015-01-01,22.1,"A",NA,NA
"245","USGS","02292900",2015-01-02,22.4,"A",NA,NA
"246","USGS","02292900",2015-01-03,22.4,"A",NA,NA
"247","USGS","02292900",2015-01-04,22.6,"A",NA,NA
"248","USGS","02292900",2015-01-05,22.5,"A",NA,NA
"249","USGS","02292900",2015-01-06,22.4,"A",NA,NA
