"","agency_cd","site_no","Date","Wtemp","Wtemp_cd"
"1","USGS","02382500",2005-03-12,8.9,"A"
"2","USGS","02382500",2005-03-13,9.6,"A"
"3","USGS","02382500",2005-03-14,10.5,"A"
"4","USGS","02382500",2005-03-15,9.5,"A"
"5","USGS","02382500",2005-03-16,9.4,"A"
"6","USGS","02382500",2005-03-17,9.2,"A"
"7","USGS","02382500",2005-03-18,9.3,"A"
"8","USGS","02382500",2005-03-19,9.4,"A"
"9","USGS","02382500",2005-03-20,9.7,"A"
"10","USGS","02382500",2005-03-21,10.3,"A"
"11","USGS","02382500",2005-03-22,10.2,"A"
"12","USGS","02382500",2005-03-23,10.4,"A"
"13","USGS","02382500",2005-03-24,10.2,"A"
"14","USGS","02382500",2005-03-29,11.1,"A"
"15","USGS","02382500",2005-03-30,11.6,"A"
"16","USGS","02382500",2005-03-31,12.4,"A"
"17","USGS","02382500",2005-04-01,13.3,"A"
"18","USGS","02382500",2005-04-02,13.1,"A"
"19","USGS","02382500",2005-04-03,12.7,"A"
"20","USGS","02382500",2005-04-04,12.9,"A"
"21","USGS","02382500",2005-04-05,12.4,"A"
"22","USGS","02382500",2005-04-06,12.3,"A"
"23","USGS","02382500",2005-04-07,12.7,"A"
"24","USGS","02382500",2005-04-08,12.1,"A"
"25","USGS","02382500",2005-04-09,12.4,"A"
"26","USGS","02382500",2005-04-10,13.4,"A"
"27","USGS","02382500",2005-04-11,14.2,"A"
"28","USGS","02382500",2005-04-12,13.4,"A"
"29","USGS","02382500",2005-04-13,12.6,"A"
"30","USGS","02382500",2005-04-14,12.7,"A"
"31","USGS","02382500",2005-04-15,12.3,"A"
"32","USGS","02382500",2005-04-16,13.1,"A"
"33","USGS","02382500",2005-04-17,14,"A"
"34","USGS","02382500",2005-04-18,15,"A"
"35","USGS","02382500",2005-04-19,13.7,"A"
"36","USGS","02382500",2005-04-20,13.6,"A"
"37","USGS","02382500",2005-04-21,13.7,"A"
"38","USGS","02382500",2005-04-22,13.4,"A"
"39","USGS","02382500",2005-04-23,12.9,"A"
"40","USGS","02382500",2005-04-24,13.5,"A"
"41","USGS","02382500",2005-04-25,13.4,"A"
"42","USGS","02382500",2005-04-26,13.3,"A"
"43","USGS","02382500",2005-04-27,12.7,"A"
"44","USGS","02382500",2005-04-28,12.6,"A"
"45","USGS","02382500",2005-04-29,12.9,"A"
"46","USGS","02382500",2005-05-03,13.4,"A"
"47","USGS","02382500",2005-05-04,13.3,"A"
"48","USGS","02382500",2005-05-05,13.5,"A"
"49","USGS","02382500",2005-05-06,13.7,"A"
"50","USGS","02382500",2005-05-07,14.2,"A"
"51","USGS","02382500",2005-05-08,15.8,"A"
"52","USGS","02382500",2005-05-09,16.6,"A"
"53","USGS","02382500",2005-05-10,14.5,"A"
"54","USGS","02382500",2005-05-11,14.4,"A"
"55","USGS","02382500",2005-05-12,14.9,"A"
"56","USGS","02382500",2005-05-13,15.1,"A"
"57","USGS","02382500",2005-05-14,15.7,"A"
"58","USGS","02382500",2005-05-15,16.6,"A"
"59","USGS","02382500",2005-05-16,17,"A"
"60","USGS","02382500",2005-05-17,15.7,"A"
"61","USGS","02382500",2005-05-18,15.9,"A"
"62","USGS","02382500",2005-05-19,15.9,"A"
"63","USGS","02382500",2005-05-20,15.6,"A"
"64","USGS","02382500",2005-05-21,15.9,"A"
"65","USGS","02382500",2005-05-22,16.8,"A"
"66","USGS","02382500",2005-05-23,17,"A"
"67","USGS","02382500",2005-05-24,16.2,"A"
"68","USGS","02382500",2005-05-25,15.8,"A"
"69","USGS","02382500",2005-05-26,15.8,"A"
"70","USGS","02382500",2005-05-27,15.7,"A"
"71","USGS","02382500",2005-05-28,15.9,"A"
"72","USGS","02382500",2005-05-29,16.2,"A"
"73","USGS","02382500",2005-05-30,16.3,"A"
"74","USGS","02382500",2005-05-31,16.2,"A"
"75","USGS","02382500",2005-06-01,16.8,"A"
"76","USGS","02382500",2005-06-02,16.3,"A"
"77","USGS","02382500",2005-06-03,16.7,"A"
"78","USGS","02382500",2005-06-04,17.1,"A"
"79","USGS","02382500",2005-06-05,17.6,"A"
"80","USGS","02382500",2005-06-06,18,"A"
"81","USGS","02382500",2005-06-07,17.7,"A"
"82","USGS","02382500",2005-06-08,17.9,"A"
"83","USGS","02382500",2005-06-09,18,"A"
"84","USGS","02382500",2005-06-10,17.7,"A"
"85","USGS","02382500",2005-06-11,18.4,"A"
"86","USGS","02382500",2005-06-12,20.6,"A"
"87","USGS","02382500",2005-06-13,21,"A"
"88","USGS","02382500",2005-06-14,18.7,"A"
"89","USGS","02382500",2005-06-15,17.7,"A"
"90","USGS","02382500",2005-06-16,17.7,"A"
"91","USGS","02382500",2005-06-17,17.5,"A"
"92","USGS","02382500",2005-06-18,18.1,"A"
"93","USGS","02382500",2005-06-19,20,"A"
"94","USGS","02382500",2005-06-20,21.5,"A"
"95","USGS","02382500",2005-06-21,18.8,"A"
"96","USGS","02382500",2005-06-22,18.4,"A"
"97","USGS","02382500",2005-06-23,18.7,"A"
"98","USGS","02382500",2005-06-24,18.5,"A"
"99","USGS","02382500",2005-06-25,18.8,"A"
"100","USGS","02382500",2005-06-26,20.1,"A"
"101","USGS","02382500",2005-06-27,21,"A"
"102","USGS","02382500",2005-06-28,19.5,"A"
"103","USGS","02382500",2005-06-29,19.2,"A"
"104","USGS","02382500",2005-06-30,19.4,"A"
"105","USGS","02382500",2005-07-01,19.1,"A"
"106","USGS","02382500",2005-07-02,19.5,"A"
"107","USGS","02382500",2005-07-03,21.3,"A"
"108","USGS","02382500",2005-07-04,22.2,"A"
"109","USGS","02382500",2005-07-05,20,"A"
"110","USGS","02382500",2005-07-06,19.5,"A"
"111","USGS","02382500",2005-07-07,19.9,"A"
"112","USGS","02382500",2005-07-08,20.1,"A"
"113","USGS","02382500",2005-07-09,21,"A"
"114","USGS","02382500",2005-07-10,21.7,"A"
"115","USGS","02382500",2005-07-11,21.8,"A"
"116","USGS","02382500",2005-07-12,20.7,"A"
"117","USGS","02382500",2005-07-13,20.3,"A"
"118","USGS","02382500",2005-07-14,20.2,"A"
"119","USGS","02382500",2005-07-15,20.8,"A"
"120","USGS","02382500",2005-07-16,21.1,"A"
"121","USGS","02382500",2005-07-17,21,"A"
"122","USGS","02382500",2005-07-18,21.5,"A"
"123","USGS","02382500",2005-07-19,21.5,"A"
"124","USGS","02382500",2005-07-20,21.2,"A"
"125","USGS","02382500",2005-07-21,21.2,"A"
"126","USGS","02382500",2005-07-22,21.2,"A"
"127","USGS","02382500",2005-07-23,21.2,"A"
"128","USGS","02382500",2005-07-24,21.8,"A"
"129","USGS","02382500",2005-07-25,22.9,"A"
"130","USGS","02382500",2005-07-26,22.4,"A"
"131","USGS","02382500",2005-07-27,21.9,"A"
"132","USGS","02382500",2005-07-28,21.6,"A"
"133","USGS","02382500",2005-07-29,21.6,"A"
"134","USGS","02382500",2005-07-30,21.7,"A"
"135","USGS","02382500",2005-07-31,22.1,"A"
"136","USGS","02382500",2005-08-01,22.9,"A"
"137","USGS","02382500",2005-08-02,22.1,"A"
"138","USGS","02382500",2005-08-03,22,"A"
"139","USGS","02382500",2005-08-04,22.1,"A"
"140","USGS","02382500",2005-08-05,22.2,"A"
"141","USGS","02382500",2005-08-06,22.3,"A"
"142","USGS","02382500",2005-08-07,23.1,"A"
"143","USGS","02382500",2005-08-08,23.5,"A"
"144","USGS","02382500",2005-08-09,22.5,"A"
"145","USGS","02382500",2005-08-10,22.5,"A"
"146","USGS","02382500",2005-08-11,22.8,"A"
"147","USGS","02382500",2005-08-12,22.9,"A"
"148","USGS","02382500",2005-08-13,22.9,"A"
"149","USGS","02382500",2005-08-14,22.7,"A"
"150","USGS","02382500",2005-08-15,23.4,"A"
"151","USGS","02382500",2005-08-16,22.8,"A"
