"","agency_cd","site_no","Date","Wtemp","Wtemp_cd"
"1","USGS","06346500",2018-05-18,12.6,"A"
"2","USGS","06346500",2018-05-19,14.5,"A"
"3","USGS","06346500",2018-05-20,16.5,"A"
"4","USGS","06346500",2018-05-21,18.7,"A"
"5","USGS","06346500",2018-05-22,20.7,"A"
"6","USGS","06346500",2018-05-23,20.7,"A"
"7","USGS","06346500",2018-05-24,22.7,"A"
"8","USGS","06346500",2018-05-25,23.8,"A"
"9","USGS","06346500",2018-05-26,25.2,"A"
"10","USGS","06346500",2018-05-27,23.7,"A"
"11","USGS","06346500",2018-05-28,22,"A"
"12","USGS","06346500",2018-05-29,22,"A"
"13","USGS","06346500",2018-05-31,22.6,"A"
"14","USGS","06346500",2018-06-05,22,"A"
"15","USGS","06346500",2018-06-06,21.6,"A"
"16","USGS","06346500",2018-06-08,22.1,"A"
"17","USGS","06346500",2018-06-09,25.4,"A"
"18","USGS","06346500",2018-06-10,23.9,"A"
"19","USGS","06346500",2018-06-12,20.6,"A"
"20","USGS","06346500",2018-06-15,19.4,"A"
"21","USGS","06346500",2018-06-20,19,"A"
"22","USGS","06346500",2018-06-21,19,"A"
"23","USGS","06346500",2018-06-22,18.7,"A"
"24","USGS","06346500",2018-06-23,19.1,"A"
"25","USGS","06346500",2018-06-24,19.1,"A"
"26","USGS","06346500",2018-06-25,19.2,"A"
"27","USGS","06346500",2018-06-26,19.3,"A"
"28","USGS","06346500",2018-06-27,19.5,"A"
"29","USGS","06346500",2018-06-28,19.4,"A"
"30","USGS","06346500",2018-06-29,20.2,"A"
"31","USGS","06346500",2018-06-30,20.9,"A"
"32","USGS","06346500",2018-07-01,20.8,"A"
"33","USGS","06346500",2018-07-02,20.7,"A"
"34","USGS","06346500",2018-07-03,21,"A"
"35","USGS","06346500",2018-07-04,21.8,"A"
"36","USGS","06346500",2018-07-05,21.4,"A"
"37","USGS","06346500",2018-07-06,21.1,"A"
"38","USGS","06346500",2018-07-07,21.7,"A"
"39","USGS","06346500",2018-07-08,21.7,"A"
"40","USGS","06346500",2018-07-09,21.4,"A"
"41","USGS","06346500",2018-07-10,21.6,"A"
"42","USGS","06346500",2018-07-11,23,"A"
"43","USGS","06346500",2018-07-12,22.7,"A"
"44","USGS","06346500",2018-07-13,22.4,"A"
"45","USGS","06346500",2018-07-14,22.6,"A"
"46","USGS","06346500",2018-07-15,22.9,"A"
"47","USGS","06346500",2018-07-16,22.4,"A"
"48","USGS","06346500",2018-07-17,22.2,"A"
"49","USGS","06346500",2018-07-18,21.5,"A"
"50","USGS","06346500",2018-07-19,22.4,"A"
"51","USGS","06346500",2018-07-20,22,"A"
"52","USGS","06346500",2018-07-21,21.6,"A"
"53","USGS","06346500",2018-07-24,24.9,"A"
"54","USGS","06346500",2018-07-25,22.5,"A"
"55","USGS","06346500",2018-07-26,20.6,"A"
"56","USGS","06346500",2018-07-27,21,"A"
"57","USGS","06346500",2018-07-28,20.7,"A"
"58","USGS","06346500",2018-07-29,22.4,"A"
"59","USGS","06346500",2018-07-30,22.5,"A"
"60","USGS","06346500",2018-07-31,22.7,"A"
"61","USGS","06346500",2018-08-01,22.5,"A"
"62","USGS","06346500",2018-08-02,22,"A"
"63","USGS","06346500",2018-08-03,22.6,"A"
"64","USGS","06346500",2018-08-23,21.3,"A"
"65","USGS","06346500",2018-08-24,21.7,"A"
"66","USGS","06346500",2018-08-25,21.3,"A"
"67","USGS","06346500",2018-08-26,20.7,"A"
"68","USGS","06346500",2018-08-27,20,"A"
"69","USGS","06346500",2018-08-28,19.9,"A"
"70","USGS","06346500",2018-08-29,20,"A"
"71","USGS","06346500",2018-08-30,20.1,"A"
"72","USGS","06346500",2018-08-31,20.2,"A"
"73","USGS","06346500",2018-09-01,20,"A"
"74","USGS","06346500",2018-09-02,19.9,"A"
"75","USGS","06346500",2018-09-03,19.9,"A"
"76","USGS","06346500",2018-09-04,19.8,"A"
"77","USGS","06346500",2018-09-05,19.1,"A"
"78","USGS","06346500",2018-09-06,19.3,"A"
"79","USGS","06346500",2018-09-07,19.6,"A"
"80","USGS","06346500",2018-09-08,19.3,"A"
"81","USGS","06346500",2018-09-09,19.2,"A"
"82","USGS","06346500",2018-09-10,19.9,"A"
"83","USGS","06346500",2018-09-11,20,"A"
"84","USGS","06346500",2018-09-12,17,"A"
"85","USGS","06346500",2018-09-13,17.4,"A"
"86","USGS","06346500",2018-09-14,17,"A"
"87","USGS","06346500",2018-09-18,14.5,"A"
"88","USGS","06346500",2018-09-19,14.2,"A"
"89","USGS","06346500",2018-09-20,11.5,"A"
"90","USGS","06346500",2018-09-21,12,"A"
"91","USGS","06346500",2018-09-22,13.5,"A"
"92","USGS","06346500",2018-09-23,11.2,"A"
"93","USGS","06346500",2018-09-24,12,"A"
"94","USGS","06346500",2018-09-25,11.5,"A"
"95","USGS","06346500",2018-09-26,11.1,"A"
"96","USGS","06346500",2018-09-27,10.9,"A"
"97","USGS","06346500",2018-09-28,9.9,"A"
"98","USGS","06346500",2018-09-29,8.9,"A"
"99","USGS","06346500",2018-09-30,7.7,"A"
"100","USGS","06346500",2018-10-01,7.7,"A"
"101","USGS","06346500",2018-10-02,10.4,"A"
"102","USGS","06346500",2018-10-06,7.6,"A"
"103","USGS","06346500",2018-10-07,6,"A"
"104","USGS","06346500",2018-10-09,5.8,"A"
"105","USGS","06346500",2018-10-10,5.1,"A"
"106","USGS","06346500",2018-10-11,6.1,"A"
"107","USGS","06346500",2018-10-12,7.8,"A"
"108","USGS","06346500",2018-10-13,6.1,"A"
"109","USGS","06346500",2018-10-14,3,"A"
"110","USGS","06346500",2019-05-17,9.2,"P"
"111","USGS","06346500",2019-05-18,9.1,"P"
"112","USGS","06346500",2019-05-19,9.3,"P"
"113","USGS","06346500",2019-05-20,9.5,"P"
"114","USGS","06346500",2019-05-21,9.3,"P"
"115","USGS","06346500",2019-05-22,9.3,"P"
"116","USGS","06346500",2019-05-23,9.7,"P"
"117","USGS","06346500",2019-05-24,9.8,"P"
"118","USGS","06346500",2019-05-25,10.3,"P"
"119","USGS","06346500",2019-05-26,10.1,"P"
"120","USGS","06346500",2019-05-27,10.1,"P"
"121","USGS","06346500",2019-05-28,11,"P"
"122","USGS","06346500",2019-05-29,11.9,"P"
"123","USGS","06346500",2019-05-30,13,"P"
"124","USGS","06346500",2019-05-31,13.4,"P"
"125","USGS","06346500",2019-06-01,13.2,"P"
"126","USGS","06346500",2019-06-02,13.3,"P"
"127","USGS","06346500",2019-06-03,13.2,"P"
