"","id","date","tmax"
"1","USC00422294",1952-12-01,NA
"2","USC00422294",1952-12-02,NA
"3","USC00422294",1952-12-03,NA
"4","USC00422294",1952-12-04,NA
"5","USC00422294",1952-12-05,NA
"6","USC00422294",1952-12-06,NA
"7","USC00422294",1952-12-07,NA
"8","USC00422294",1952-12-08,NA
"9","USC00422294",1952-12-09,NA
"10","USC00422294",1952-12-10,NA
"11","USC00422294",1952-12-11,NA
"12","USC00422294",1952-12-12,NA
"13","USC00422294",1952-12-13,NA
"14","USC00422294",1952-12-14,NA
"15","USC00422294",1952-12-15,NA
"16","USC00422294",1952-12-16,NA
"17","USC00422294",1952-12-17,NA
"18","USC00422294",1952-12-18,18.9
"19","USC00422294",1952-12-19,NA
"20","USC00422294",1952-12-20,NA
"21","USC00422294",1952-12-21,NA
"22","USC00422294",1952-12-22,NA
"23","USC00422294",1952-12-23,NA
"24","USC00422294",1952-12-24,NA
"25","USC00422294",1952-12-25,NA
"26","USC00422294",1952-12-26,NA
"27","USC00422294",1952-12-27,NA
"28","USC00422294",1952-12-28,NA
"29","USC00422294",1952-12-29,NA
"30","USC00422294",1952-12-30,NA
"31","USC00422294",1952-12-31,NA
