"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,2.07904349645256,1,7
"2",1,2,1.97332674974656,2,7
"3",2,3,1.86738020930346,3,7
"4",3,4,1.68386134358985,4,7
"5",4,5,1.37771412665084,5,7
"6",5,6,1.03302855484577,6,7
"7",6,7,0.766181130112532,7,7
"8",7,8,0.663948003023947,8,7
"9",8,9,0.694703918692638,9,7
"10",9,10,0.797223270866176,10,7
"11",10,11,0.910280453292127,11,7
"12",11,12,0.964823962780383,12,7
"13",12,13,0.860498708390111,13,7
"14",13,14,0.489123702242802,14,7
"15",14,15,-0.207965113295564,15,7
"16",15,16,-1.09136407488104,16,7
"17",16,17,-1.97215258892518,17,7
"18",17,18,-2.69646669397626,18,7
"19",18,19,-3.25066895712944,19,7
"20",19,20,-3.65617857761658,20,7
"21",20,21,-3.93441475466955,21,7
"22",21,22,-4.09917031385125,22,7
"23",22,23,-4.1337325860487,23,7
"24",23,24,-4.01376252847996,24,7
"25",24,25,-3.72509896794537,25,7
"26",25,26,-3.29429220957445,26,7
"27",26,27,-2.758070428079,27,7
"28",27,28,-2.15316179817084,28,7
"29",28,29,-1.52384863764823,29,7
"30",29,30,-0.944629836655411,30,7
"31",30,31,-0.497558428423062,31,7
"32",31,32,-0.244035694022339,32,7
"33",32,33,-0.162855905886254,33,7
"34",33,34,-0.212161584288279,34,7
"35",34,35,-0.349683808924003,35,7
"36",35,36,-0.531507897177479,36,7
"37",36,37,-0.713307725854878,37,7
"38",37,38,-0.85075717176237,38,7
"39",38,39,-0.916262993519612,39,7
"40",39,40,-0.94916347700022,40,7
"41",40,41,-1.00552978989129,41,7
"42",41,42,-1.12514976965566,42,7
"43",42,43,-1.28267793285899,43,7
"44",43,44,-1.43648546584272,44,7
"45",44,45,-1.54638504717697,45,7
"46",45,46,-1.57795532434684,46,7
"47",46,47,-1.49821643706618,47,7
"48",47,48,-1.27418852504881,48,7
"49",48,49,-0.898544073034717,49,7
"50",49,50,-0.466564945868496,50,7
"51",50,51,-0.0991853534208962,51,7
"52",51,52,0.110948657847411,52,7
"53",52,53,0.184343695116018,53,7
"54",53,54,0.169794528974589,54,7
"55",54,55,0.116095930012787,55,7
"56",55,56,0.0712539565695979,56,7
"57",56,57,0.080119817981294,57,7
"58",57,58,0.18675601133347,58,7
"59",58,59,0.414134406641768,59,7
"60",59,60,0.700864365642,60,7
"61",60,61,0.964464623000032,61,7
"62",61,62,1.14609298423144,62,7
"63",62,63,1.28146353825067,63,7
"64",63,64,1.42992944482186,64,7
"65",64,65,1.65084386370918,65,7
"66",65,66,1.99047218034999,66,7
"67",66,67,2.44272868287458,67,7
"68",67,68,2.98843988508643,68,7
"69",68,69,3.59662470187693,69,7
"70",69,70,4.18907165248899,70,7
"71",70,71,4.6757616572534,71,7
"72",71,72,4.98402810397336,72,7
"73",72,73,5.11061425034164,73,7
"74",73,74,5.06961582152345,74,7
"75",74,75,4.87512854268395,75,7
"76",75,76,4.5599394066105,76,7
"77",76,77,4.23160047657911,77,7
"78",77,78,4.01635508348795,78,7
"79",78,79,4.01267296440565,79,7
"80",79,80,4.20792948108271,80,7
"81",80,81,4.56172640144008,81,7
"82",81,82,5.03366549339872,82,7
"83",82,83,5.58435152675351,83,7
"84",83,84,6.17840127879519,84,7
"85",84,85,6.78143452868841,85,7
"86",85,86,7.3569712960646,86,7
"87",86,87,7.86013256242235,87,7
"88",87,88,8.24393954972697,88,7
"89",88,89,8.46927773524328,89,7
"90",89,90,8.52848961743397,90,7
"91",90,91,8.42178195006119,91,7
"92",91,92,8.14936148688712,92,7
"93",92,93,7.73647180648902,93,7
"94",93,94,7.30850378670469,94,7
"95",94,95,7.01588513018698,95,7
"96",95,96,6.97623803419089,96,7
"97",96,97,7.1759626743798,97,7
"98",97,98,7.5686537210192,98,7
"99",98,99,8.10790584437454,99,7
"100",99,100,8.7472956483827,100,7
"101",100,101,9.44032747166607,101,7
"102",101,102,10.1404875865185,102,7
"103",102,103,10.8073484658406,103,7
"104",103,104,11.4248273849607,104,7
"105",104,105,11.9829278198143,105,7
"106",105,106,12.4727392186775,106,7
"107",106,107,12.8896949191898,107,7
"108",107,108,13.230314231332,108,7
"109",108,109,13.4911164650843,109,7
"110",109,110,13.6613889316176,110,7
"111",110,111,13.701490946863,111,7
"112",111,112,13.5645498279419,112,7
"113",112,113,13.23577763606,113,7
"114",113,114,12.8287254087597,114,7
"115",114,115,12.4890289276676,115,7
"116",115,116,12.3342073087363,116,7
"117",116,117,12.3693130052224,117,7
"118",117,118,12.5712818047081,118,7
"119",118,119,12.9170494947759,119,7
"120",119,120,13.365916583023,120,7
"121",120,121,13.8066424571049,121,7
"122",121,122,14.1103512246921,122,7
"123",122,123,14.1939558882131,123,7
"124",123,124,14.157525029129,124,7
"125",124,125,14.1469161236592,125,7
"126",125,126,14.307986648023,126,7
"127",126,127,14.7373328374292,127,7
"128",127,128,15.3345059630447,128,7
"129",128,129,15.9497960550259,129,7
"130",129,130,16.4503985910792,130,7
"131",130,131,16.7711308391097,131,7
"132",131,132,16.8637155145726,132,7
"133",132,133,16.7014693077686,133,7
"134",133,134,16.3440848083805,134,7
"135",134,135,15.872848580937,135,7
"136",135,136,15.3690471899666,136,7
"137",136,137,14.9100592423781,137,7
"138",137,138,14.5576315146023,138,7
"139",138,139,14.36960282545,139,7
"140",139,140,14.393970610122,140,7
"141",140,141,14.639366769379,141,7
"142",141,142,15.1045818203712,142,7
"143",142,143,15.7711409957946,143,7
"144",143,144,16.5515083905274,144,7
"145",144,145,17.3408828149935,145,7
"146",145,146,18.0344630796166,146,7
"147",146,147,18.5471654588196,147,7
"148",147,148,18.8727760830222,148,7
"149",148,149,19.0247985466431,149,7
"150",149,150,19.0229278502654,150,7
"151",150,151,18.9116246191286,151,7
"152",151,152,18.7415408846369,152,7
"153",152,153,18.5633286781942,153,7
"154",153,154,18.4292595373762,154,7
"155",154,155,18.3980830244464,155,7
"156",155,156,18.5301682078399,156,7
"157",156,157,18.8622959466368,157,7
"158",157,158,19.3368942624971,158,7
"159",158,159,19.8728029677255,159,7
"160",159,160,20.3945090453686,160,7
"161",160,161,20.8490881614391,161,7
"162",161,162,21.1892631526919,162,7
"163",162,163,21.3677568558813,163,7
"164",163,164,21.3620610923595,164,7
"165",164,165,21.2487436218689,165,7
"166",165,166,21.1291411887495,166,7
"167",166,167,21.0807139183118,167,7
"168",167,168,21.0854154597486,168,7
"169",168,169,21.1013228432233,169,7
"170",169,170,21.1039778603994,170,7
"171",170,171,21.1387813489413,171,7
"172",171,172,21.2685989080135,172,7
"173",172,173,21.5562961367805,173,7
"174",173,174,22.0309382722179,174,7
"175",174,175,22.586389102545,175,7
"176",175,176,23.0827120537922,176,7
"177",176,177,23.4083350371989,177,7
"178",177,178,23.5651439048411,178,7
"179",178,179,23.5833889940041,179,7
"180",179,180,23.4933206419731,180,7
"181",180,181,23.3302579642601,181,7
"182",181,182,23.1497951892838,182,7
"183",182,183,23.0125953236902,183,7
"184",183,184,22.962878424778,184,7
"185",184,185,22.9790927524593,185,7
"186",185,186,23.0232436172994,186,7
"187",186,187,23.0619487798611,187,7
"188",187,188,23.0802758006973,188,7
"189",188,189,23.0679046903584,189,7
"190",189,190,23.0145154593949,190,7
"191",190,191,22.92136840333,191,7
"192",191,192,22.8360449575784,192,7
"193",192,193,22.8177068425277,193,7
"194",193,194,22.9089910435444,194,7
"195",194,195,23.0864356059108,195,7
"196",195,196,23.310053839888,196,7
"197",196,197,23.5398590557374,197,7
"198",197,198,23.7388307552751,198,7
"199",198,199,23.8818132065364,199,7
"200",199,200,23.9466168691114,200,7
"201",200,201,23.9217805438978,201,7
"202",201,202,23.838756397023,202,7
"203",202,203,23.7397249359217,203,7
"204",203,204,23.6610734158367,204,7
"205",204,205,23.616016083242,205,7
"206",205,206,23.6119739324196,206,7
"207",206,207,23.6563679576513,207,7
"208",207,208,23.7589239848167,208,7
"209",208,209,23.9385871661855,209,7
"210",209,210,24.2166074856252,210,7
"211",210,211,24.595173635884,211,7
"212",211,212,25.0002291452336,212,7
"213",212,213,25.3386562508266,213,7
"214",213,214,25.5337994546753,214,7
"215",214,215,25.574852318231,215,7
"216",215,216,25.4674706678048,216,7
"217",216,217,25.2173103297079,217,7
"218",217,218,24.8476942791353,218,7
"219",218,219,24.4526140868189,219,7
"220",219,220,24.1437284723741,220,7
"221",220,221,24.0035309293347,221,7
"222",221,222,23.9978540469052,222,7
"223",222,223,24.0633651882081,223,7
"224",223,224,24.1367317163661,224,7
"225",224,225,24.163024713275,225,7
"226",225,226,24.1209301359248,226,7
"227",226,227,23.997537660079,227,7
"228",227,228,23.7888082107503,228,7
"229",228,229,23.5261877099477,229,7
"230",229,230,23.2499933289297,230,7
"231",230,231,22.9949970348799,231,7
"232",231,232,22.7737899786831,232,7
"233",232,233,22.5934181071495,233,7
"234",233,234,22.4609273670893,234,7
"235",234,235,22.3816882640435,235,7
"236",235,236,22.354369538477,236,7
"237",236,237,22.3759644895852,237,7
"238",237,238,22.430562903499,238,7
"239",238,239,22.4506405140892,239,7
"240",239,240,22.3557695421619,240,7
"241",240,241,22.0908079375281,241,7
"242",241,242,21.7017565660186,242,7
"243",242,243,21.2599020224692,243,7
"244",243,244,20.8365309017156,244,7
"245",244,245,20.4948321461332,245,7
"246",245,246,20.265604088255,246,7
"247",246,247,20.171547408154,247,7
"248",247,248,20.2179132766003,248,7
"249",248,249,20.3401548271548,249,7
"250",249,250,20.4562756840762,250,7
"251",250,251,20.484279471623,251,7
"252",251,252,20.3615351900967,252,7
"253",252,253,20.1028733439696,253,7
"254",253,254,19.7424898137575,254,7
"255",254,255,19.3187891453489,255,7
"256",255,256,18.8870105461262,256,7
"257",256,257,18.5066018888451,257,7
"258",257,258,18.2259290857835,258,7
"259",258,259,18.0490302073082,259,7
"260",259,260,17.9688613633084,260,7
"261",260,261,17.9783786636734,261,7
"262",261,262,18.0657820856603,262,7
"263",262,263,18.2002470759991,263,7
"264",263,264,18.3461929487881,264,7
"265",264,265,18.4627645389135,265,7
"266",265,266,18.488008764414,266,7
"267",266,267,18.3546980641165,267,7
"268",267,268,18.0213562011559,268,7
"269",268,269,17.5495122359007,269,7
"270",269,270,17.0264465530273,270,7
"271",270,271,16.5394395372122,271,7
"272",271,272,16.1626121100594,272,7
"273",272,273,15.9174473408829,273,7
"274",273,274,15.8122688359243,274,7
"275",274,275,15.8400700121877,275,7
"276",275,276,15.9325235297292,276,7
"277",276,277,16.0059718593673,277,7
"278",277,278,15.9767574719208,278,7
"279",278,279,15.7886488714906,279,7
"280",279,280,15.4951186953068,280,7
"281",280,281,15.1770656138816,281,7
"282",281,282,14.8901518041823,282,7
"283",282,283,14.5890934689949,283,7
"284",283,284,14.2033703175605,284,7
"285",284,285,13.6892899635257,285,7
"286",285,286,13.1104716381606,286,7
"287",286,287,12.5573624771407,287,7
"288",287,288,12.120409616142,288,7
"289",288,289,11.861202637078,289,7
"290",289,290,11.7259009068142,290,7
"291",290,291,11.631806238454,291,7
"292",291,292,11.5079313876668,292,7
"293",292,293,11.3301328803852,293,7
"294",293,294,11.085978185108,294,7
"295",294,295,10.7630347703339,295,7
"296",295,296,10.358030960254,296,7
"297",296,297,9.90433850182888,297,7
"298",297,298,9.44448999771153,298,7
"299",298,299,9.02891698643957,299,7
"300",299,300,8.73964675008929,300,7
"301",300,301,8.66660550662163,301,7
"302",301,302,8.86083365758881,302,7
"303",302,303,9.217828338908,303,7
"304",303,304,9.59420087008762,304,7
"305",304,305,9.8465625706361,305,7
"306",305,306,9.86688680656008,306,7
"307",306,307,9.6885951298589,307,7
"308",307,308,9.3804711390301,308,7
"309",308,309,9.00748602352124,309,7
"310",309,310,8.61936133657995,310,7
"311",310,311,8.2620062224039,311,7
"312",311,312,7.97503621971589,312,7
"313",312,313,7.77289244533941,313,7
"314",313,314,7.66372241062308,314,7
"315",314,315,7.6556736269155,315,7
"316",315,316,7.73783375538464,316,7
"317",316,317,7.82305105647584,317,7
"318",317,318,7.80511394045377,318,7
"319",318,319,7.60960435355597,319,7
"320",319,320,7.28927838591144,320,7
"321",320,321,6.92868566362206,321,7
"322",321,322,6.61237581278967,322,7
"323",322,323,6.40185150722265,323,7
"324",323,324,6.26642761155525,324,7
"325",324,325,6.15237203812818,325,7
"326",325,326,6.0263950521474,326,7
"327",326,327,5.9369763302798,327,7
"328",327,328,5.95303790205746,328,7
"329",328,329,6.11055080403316,329,7
"330",329,330,6.31368210084237,330,7
"331",330,331,6.43364786414123,331,7
"332",331,332,6.34166416558587,332,7
"333",332,333,5.93837327321857,333,7
"334",333,334,5.24212224062624,334,7
"335",334,335,4.30068431778193,335,7
"336",335,336,3.18401370548097,336,7
"337",336,337,2.05078840780771,337,7
"338",337,338,1.08186737966879,338,7
"339",338,339,0.424257508024993,339,7
"340",339,340,0.0895574080537254,340,7
"341",340,341,0.0555136269865514,341,7
"342",341,342,0.299872712055049,342,7
"343",342,343,0.777359530204014,343,7
"344",343,344,1.35061222723127,344,7
"345",344,345,1.8592472686479,345,7
"346",345,346,2.17509132665141,346,7
"347",346,347,2.29881190018502,347,7
"348",347,348,2.26328669487842,348,7
"349",348,349,2.10139341636125,349,7
"350",349,350,1.85470711345361,350,7
"351",350,351,1.59959220773727,351,7
"352",351,352,1.42111046398442,352,7
"353",352,353,1.38067202534491,353,7
"354",353,354,1.4450805484791,354,7
"355",354,355,1.55748806842499,355,7
"356",355,356,1.6646512759393,356,7
"357",356,357,1.72774548465358,357,7
"358",357,358,1.71155066391809,358,7
"359",358,359,1.58084678308308,359,7
"360",359,360,1.32938866325894,360,7
"361",360,361,1.06683053259655,361,7
"362",361,362,0.931801471006953,362,7
