"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,-11.7090277683504,1,19
"2",1,2,-11.2627901503298,2,19
"3",2,3,-10.8266444663273,3,19
"4",3,4,-10.4103761095863,4,19
"5",4,5,-10.0258971019684,5,19
"6",5,6,-9.69362597980624,6,19
"7",6,7,-9.43610790805025,7,19
"8",7,8,-9.27153631347034,8,19
"9",8,9,-9.20069767011426,9,19
"10",9,10,-9.22002671384919,10,19
"11",10,11,-9.32595818054233,11,19
"12",11,12,-9.50711119520181,12,19
"13",12,13,-9.72084243939959,13,19
"14",13,14,-9.91669298384858,14,19
"15",14,15,-10.0520456090131,15,19
"16",15,16,-10.115649934363,16,19
"17",16,17,-10.1040972891197,17,19
"18",17,18,-10.0188228541571,18,19
"19",18,19,-9.88063721695977,19,19
"20",19,20,-9.71519481666497,20,19
"21",20,21,-9.54815009240988,21,19
"22",21,22,-9.40188513109874,22,19
"23",22,23,-9.28569261070397,23,19
"24",23,24,-9.20559285696499,24,19
"25",24,25,-9.16741416437014,25,19
"26",25,26,-9.17621670240318,26,19
"27",26,27,-9.23686860929676,27,19
"28",27,28,-9.35423802328354,28,19
"29",28,29,-9.52447146644826,29,19
"30",29,30,-9.70882899628397,30,19
"31",30,31,-9.85984905413584,31,19
"32",31,32,-9.93772006079996,32,19
"33",32,33,-9.93323035487618,33,19
"34",33,34,-9.8448182544153,34,19
"35",34,35,-9.6762786435345,35,19
"36",35,36,-9.45283267061646,36,19
"37",36,37,-9.20505805011024,37,19
"38",37,38,-8.96353249646493,38,19
"39",38,39,-8.75119575111681,39,19
"40",39,40,-8.56043566345117,40,19
"41",40,41,-8.37600210984053,41,19
"42",41,42,-8.18912960197057,42,19
"43",42,43,-8.0169911927796,43,19
"44",43,44,-7.88324457051909,44,19
"45",44,45,-7.80765806109121,45,19
"46",45,46,-7.79444254100094,46,19
"47",46,47,-7.84391952440394,47,19
"48",47,48,-7.95641052545587,48,19
"49",48,49,-8.12923167261631,49,19
"50",49,50,-8.3476775515605,50,19
"51",50,51,-8.59403736226758,51,19
"52",51,52,-8.84949601519109,52,19
"53",52,53,-9.09082126268208,53,19
"54",53,54,-9.293676567566,54,19
"55",54,55,-9.43372539266829,55,19
"56",55,56,-9.49067687279802,56,19
"57",56,57,-9.46042283069872,57,19
"58",57,58,-9.34290076109756,58,19
"59",58,59,-9.13879931346042,59,19
"60",59,60,-8.85181175620816,60,19
"61",60,61,-8.48638251250039,61,19
"62",61,62,-8.04976580868331,62,19
"63",62,63,-7.56045508384954,63,19
"64",63,64,-7.03975358027833,64,19
"65",64,65,-6.50896454024891,65,19
"66",65,66,-5.98699723311091,66,19
"67",66,67,-5.48318503649548,67,19
"68",67,68,-5.00446735510418,68,19
"69",68,69,-4.55909217351428,69,19
"70",69,70,-4.16054179580608,70,19
"71",70,71,-3.82360710593558,71,19
"72",71,72,-3.55996108467642,72,19
"73",72,73,-3.3688051000726,73,19
"74",73,74,-3.2462226169857,74,19
"75",74,75,-3.18829710027733,75,19
"76",75,76,-3.18601327176079,76,19
"77",76,77,-3.20996088105618,77,19
"78",77,78,-3.2256309347353,78,19
"79",78,79,-3.20688297485716,79,19
"80",79,80,-3.16105068542946,80,19
"81",80,81,-3.10383628594713,81,19
"82",81,82,-3.05094199590508,82,19
"83",82,83,-3.01290740025188,83,19
"84",83,84,-2.97962154575086,84,19
"85",84,85,-2.935810844619,85,19
"86",85,86,-2.86910769074422,86,19
"87",86,87,-2.77876840469802,87,19
"88",87,88,-2.66695528872285,88,19
"89",88,89,-2.53610877768898,89,19
"90",89,90,-2.38978183697806,90,19
"91",90,91,-2.23180556459958,91,19
"92",91,92,-2.06601105856303,92,19
"93",92,93,-1.89486156511129,93,19
"94",93,94,-1.71534892342085,94,19
"95",94,95,-1.52309712090159,95,19
"96",95,96,-1.31568158678349,96,19
"97",96,97,-1.09848351757701,97,19
"98",97,98,-0.878835551612724,98,19
"99",98,99,-0.664070327221194,99,19
"100",99,100,-0.462045591162338,100,19
"101",100,101,-0.282719523913468,101,19
"102",101,102,-0.136575414381246,102,19
"103",102,103,-0.0294625680552097,103,19
"104",103,104,0.0513056432435924,104,19
"105",104,105,0.12304983111124,105,19
"106",105,106,0.201703458397993,106,19
"107",106,107,0.297651392970838,107,19
"108",107,108,0.419891353950944,108,19
"109",108,109,0.577421060459476,109,19
"110",109,110,0.773316208009304,110,19
"111",110,111,0.986964397680104,111,19
"112",111,112,1.19183120694325,112,19
"113",112,113,1.36638353828666,113,19
"114",113,114,1.50909359426437,114,19
"115",114,115,1.62343490244698,115,19
"116",115,116,1.71431009631734,116,19
"117",116,117,1.79233823300738,117,19
"118",117,118,1.86956747556129,118,19
"119",118,119,1.95804598702326,119,19
"120",119,120,2.06888316237472,120,19
"121",120,121,2.20943332434607,121,19
"122",121,122,2.38611202760493,122,19
"123",122,123,2.60172241582358,123,19
"124",123,124,2.84461798869289,124,19
"125",124,125,3.09953983490839,125,19
"126",125,126,3.3512290431656,126,19
"127",126,127,3.58842974502772,127,19
"128",127,128,3.81589824352858,128,19
"129",128,129,4.04239388456971,129,19
"130",129,130,4.27598893210952,130,19
"131",130,131,4.52200732233403,131,19
"132",131,132,4.78508590948615,132,19
"133",132,133,5.06615066948656,133,19
"134",133,134,5.351284064967,134,19
"135",134,135,5.62285768023698,135,19
"136",135,136,5.86324309960599,136,19
"137",136,137,6.05795889526783,137,19
"138",137,138,6.20511159095341,138,19
"139",138,139,6.30595469827792,139,19
"140",139,140,6.36537605449657,140,19
"141",140,141,6.40280079942463,141,19
"142",141,142,6.44128839851735,142,19
"143",142,143,6.50057794099033,143,19
"144",143,144,6.58712701110039,144,19
"145",144,145,6.70407281686468,145,19
"146",145,146,6.85455256630036,146,19
"147",146,147,7.03935309851758,147,19
"148",147,148,7.24985977699848,148,19
"149",148,149,7.47510759631823,149,19
"150",149,150,7.70522078439722,150,19
"151",150,151,7.93468050253679,151,19
"152",151,152,8.1590571453835,152,19
"153",152,153,8.37392110758392,153,19
"154",153,154,8.57350283599945,154,19
"155",154,155,8.74667298635082,155,19
"156",155,156,8.88096226657358,156,19
"157",156,157,8.96602882813585,157,19
"158",157,158,9.00004059663594,158,19
"159",158,159,8.98329294120473,159,19
"160",159,160,8.92018090827854,160,19
"161",160,161,8.83149825351551,161,19
"162",161,162,8.74213840987924,162,19
"163",162,163,8.67699481033331,163,19
"164",163,164,8.65740815833442,164,19
"165",164,165,8.69050823931163,165,19
"166",165,166,8.77987210918709,166,19
"167",166,167,8.92650374463717,167,19
"168",167,168,9.12111480535498,168,19
"169",168,169,9.35184387178779,169,19
"170",169,170,9.60924658462148,170,19
"171",170,171,9.89354682549606,171,19
"172",171,172,10.2073855362901,172,19
"173",172,173,10.5534036588823,173,19
"174",173,174,10.9314755749434,174,19
"175",174,175,11.3304094253138,175,19
"176",175,176,11.7362467906261,176,19
"177",176,177,12.1365477174815,177,19
"178",177,178,12.5249461163551,178,19
"179",178,179,12.8965943636906,179,19
"180",179,180,13.2466448359319,180,19
"181",180,181,13.5689062165705,181,19
"182",181,182,13.85181241729,182,19
"183",182,183,14.0824536568219,183,19
"184",183,184,14.2516128026531,184,19
"185",184,185,14.3648433172926,185,19
"186",185,186,14.4313913120046,186,19
"187",186,187,14.4616432204189,187,19
"188",187,188,14.4705467656272,188,19
"189",188,189,14.4741899930868,189,19
"190",189,190,14.4886609482549,190,19
"191",190,191,14.5261741708301,191,19
"192",191,192,14.5834501774776,192,19
"193",192,193,14.6533359791039,193,19
"194",193,194,14.7295261455522,194,19
"195",194,195,14.8091054824121,195,19
"196",195,196,14.8900063542099,196,19
"197",196,197,14.9701611254718,197,19
"198",197,198,15.0479533531888,198,19
"199",198,199,15.1235713642106,199,19
"200",199,200,15.1976546778517,200,19
"201",200,201,15.2677883367389,201,19
"202",201,202,15.3193394767484,202,19
"203",202,203,15.3346207570686,203,19
"204",203,204,15.3005074164901,204,19
"205",204,205,15.2221250122125,205,19
"206",205,206,15.1091616810376,206,19
"207",206,207,14.9713055597671,207,19
"208",207,208,14.8199724285943,208,19
"209",208,209,14.6734886412787,209,19
"210",209,210,14.551908194971,210,19
"211",210,211,14.4686771366382,211,19
"212",211,212,14.410809712511,212,19
"213",212,213,14.3587122186364,213,19
"214",213,214,14.2962432285144,214,19
"215",214,215,14.2210704254591,215,19
"216",215,216,14.1343137702383,216,19
"217",216,217,14.0370932236193,217,19
"218",217,218,13.9317899919784,218,19
"219",218,219,13.8258302641267,219,19
"220",219,220,13.7279014744842,220,19
"221",220,221,13.6443905585851,221,19
"222",221,222,13.5724824564225,222,19
"223",222,223,13.5070616091042,223,19
"224",223,224,13.4430124577378,224,19
"225",224,225,13.3753833050487,225,19
"226",225,226,13.2998779002332,226,19
"227",226,227,13.2123638541051,227,19
"228",227,228,13.1110642239632,228,19
"229",228,229,13.0036238530448,229,19
"230",229,230,12.9000430310723,230,19
"231",230,231,12.8075670516073,231,19
"232",231,232,12.7224212235695,232,19
"233",232,233,12.6380758597183,233,19
"234",233,234,12.5480012728129,234,19
"235",234,235,12.4483576327503,235,19
"236",235,236,12.3460645379781,236,19
"237",236,237,12.2507314440815,237,19
"238",237,238,12.1688573552303,238,19
"239",238,239,12.0944994699312,239,19
"240",239,240,12.0186045352757,240,19
"241",240,241,11.9328695152085,241,19
"242",241,242,11.8319922410889,242,19
"243",242,243,11.7114207611296,243,19
"244",243,244,11.5666031235432,244,19
"245",244,245,11.3927711731164,245,19
"246",245,246,11.1842919409309,246,19
"247",246,247,10.9353162546421,247,19
"248",247,248,10.6449764712088,248,19
"249",248,249,10.3323310648025,249,19
"250",249,250,10.0214200388977,250,19
