"","x","Index","y","Index2","RcrdCnt"
"1",0,1,5.83966254784156,1,19
"2",1,2,5.87121107878485,2,19
"3",2,3,5.90304763781679,3,19
"4",3,4,5.93553755164423,4,19
"5",4,5,5.96896513236891,5,19
"6",5,6,6.0032906336721,6,19
"7",6,7,6.03839329462997,7,19
"8",7,8,6.07400647700743,8,19
"9",8,9,6.10928003332444,9,19
"10",9,10,6.1432179387897,10,19
"11",10,11,6.17482416861192,11,19
"12",11,12,6.20326229332476,12,19
"13",12,13,6.22833426476167,13,19
"14",13,14,6.25000163008103,14,19
"15",14,15,6.26829628310106,15,19
"16",15,16,6.28353150427916,16,19
"17",16,17,6.29609092073256,17,19
"18",17,18,6.30633681858613,18,19
"19",18,19,6.31454611999538,19,19
"20",19,20,6.32097440612343,20,19
"21",20,21,6.32587725813344,21,19
"22",21,22,6.32954866565829,22,19
"23",22,23,6.33243625220981,23,19
"24",23,24,6.33502604976959,24,19
"25",24,25,6.33775918816412,25,19
"26",25,26,6.34089718859967,26,19
"27",26,27,6.34465667012743,27,19
"28",27,28,6.34925425179859,28,19
"29",28,29,6.35487991306756,29,19
"30",29,30,6.36161707500162,30,19
"31",30,31,6.36952251907126,31,19
"32",31,32,6.37864620657649,32,19
"33",32,33,6.38901081813527,33,19
"34",33,34,6.40063221419506,34,19
"35",34,35,6.41349730816088,35,19
"36",35,36,6.42747722526793,36,19
"37",36,37,6.44241414370897,37,19
"38",37,38,6.45815024167675,38,19
"39",38,39,6.47446068237484,39,19
"40",39,40,6.49085256905012,40,19
"41",40,41,6.50676598996029,41,19
"42",41,42,6.5216391372324,42,19
"43",42,43,6.53490261847086,43,19
"44",43,44,6.54598514514942,44,19
"45",44,45,6.55438991120616,45,19
"46",45,46,6.55991804043643,46,19
"47",46,47,6.56244513909987,47,19
"48",47,48,6.56184681345614,48,19
"49",48,49,6.55811611689481,49,19
"50",49,50,6.55171589132517,50,19
"51",50,51,6.54322642578642,51,19
