"","x","Index","y","Index2","RcrdCnt"
"1",0,1,2.58502722363433,1,5
"2",1,2,2.4824283623299,2,5
"3",2,3,2.36379166952153,3,5
"4",3,4,2.20634591266709,4,5
"5",4,5,1.99682918517817,5,5
"6",5,6,1.76001688428131,6,5
"7",6,7,1.53019373315679,7,5
"8",7,8,1.33665194624706,8,5
"9",8,9,1.18871370304319,9,5
"10",9,10,1.09070867429843,10,5
"11",10,11,1.04696653076603,11,5
"12",11,12,1.05832167633253,12,5
"13",12,13,1.11162744741768,13,5
"14",13,14,1.19024191357453,14,5
"15",14,15,1.28091952887544,15,5
"16",15,16,1.3840002854701,16,5
"17",16,17,1.50322056002755,17,5
"18",17,18,1.64118824569522,18,5
"19",18,19,1.79599730153437,19,5
"20",19,20,1.96461320308467,20,5
"21",20,21,2.14400142588579,21,5
"22",21,22,2.32609750039383,22,5
"23",22,23,2.48271717673046,23,5
"24",23,24,2.58064625993375,24,5
"25",24,25,2.59453855666123,25,5
"26",25,26,2.53051988004811,26,5
"27",26,27,2.40258404484906,27,5
"28",27,28,2.22472486581874,28,5
"29",28,29,2.01443543835062,29,5
"30",29,30,1.80320598039345,30,5
"31",30,31,1.62602599053478,31,5
"32",31,32,1.51491147259929,32,5
"33",32,33,1.48998445136005,33,5
"34",33,34,1.56839345682726,34,5
"35",34,35,1.75515747829146,35,5
"36",35,36,2.0067773421645,36,5
"37",36,37,2.26762433413858,37,5
"38",37,38,2.48206973990589,38,5
"39",38,39,2.61283727967072,39,5
"40",39,40,2.69606041168579,40,5
"41",40,41,2.7862250287159,41,5
"42",41,42,2.92597772457523,42,5
"43",42,43,3.11060789727551,43,5
"44",43,44,3.32356564587784,44,5
"45",44,45,3.55156515114295,45,5
"46",45,46,3.79437692063011,46,5
"47",46,47,4.05503554359819,47,5
"48",47,48,4.3365756093061,48,5
"49",48,49,4.63961573713649,49,5
"50",49,50,4.95511066696711,50,5
"51",50,51,5.27159916879945,51,5
"52",51,52,5.57567249786697,52,5
"53",52,53,5.84613185033096,53,5
"54",53,54,6.05983090758467,54,5
"55",54,55,6.19362335102132,55,5
"56",55,56,6.22992411648589,56,5
"57",56,57,6.17339315763027,57,5
"58",57,58,6.03425168255808,58,5
"59",58,59,5.82146747992383,59,5
"60",59,60,5.53899466058553,60,5
"61",60,61,5.18953391595209,61,5
"62",61,62,4.78802960586879,62,5
"63",62,63,4.39840076392654,63,5
"64",63,64,4.09681009215263,64,5
"65",64,65,3.95942029257433,65,5
"66",65,66,4.02972671301888,66,5
"67",66,67,4.22055528451324,67,5
"68",67,68,4.4120645838843,68,5
"69",68,69,4.51181967072888,69,5
"70",69,70,4.53701153572345,70,5
"71",70,71,4.53223765231442,71,5
"72",71,72,4.53438246415079,72,5
"73",72,73,4.54947829569204,73,5
"74",73,74,4.57584444160026,74,5
"75",74,75,4.61180019653753,75,5
"76",75,76,4.65837676592343,76,5
"77",76,77,4.72745299820756,77,5
"78",77,78,4.83361965259696,78,5
"79",78,79,4.98968238209437,79,5
"80",79,80,5.20130641488501,80,5
"81",80,81,5.47237187294976,81,5
"82",81,82,5.80675887826949,82,5
"83",82,83,6.20593710334041,83,5
"84",83,84,6.66173442272015,84,5
"85",84,85,7.16356826148165,85,5
"86",85,86,7.69190246881065,86,5
"87",86,87,8.19138659034394,87,5
"88",87,88,8.59771659583107,88,5
"89",88,89,8.86520805730968,89,5
"90",89,90,9.02265495596969,90,5
"91",90,91,9.11747087528911,91,5
"92",91,92,9.19706939874593,92,5
"93",92,93,9.3023965126154,93,5
"94",93,94,9.44852781436177,94,5
"95",94,95,9.6440713042465,95,5
"96",95,96,9.89767072727893,96,5
"97",96,97,10.2181128074597,97,5
"98",97,98,10.6142200135374,98,5
"99",98,99,11.0948148142604,99,5
"100",99,100,11.6516138925894,100,5
"101",100,101,12.2079107883343,101,5
"102",101,102,12.6698932555168,102,5
"103",102,103,12.963567179767,103,5
"104",103,104,13.0942109731473,104,5
"105",104,105,13.0869211793282,105,5
"106",105,106,12.9766654930163,106,5
"107",106,107,12.8378962130632,107,5
"108",107,108,12.7549367893565,108,5
"109",108,109,12.8121106717839,109,5
"110",109,110,13.061121293582,110,5
"111",110,111,13.4231920213832,111,5
"112",111,112,13.7869262051689,112,5
"113",112,113,14.0642227535138,113,5
"114",113,114,14.2601628093656,114,5
"115",114,115,14.4031230742654,115,5
"116",115,116,14.5237467993476,116,5
"117",116,117,14.6617434341205,117,5
"118",117,118,14.8590889776855,118,5
"119",118,119,15.1577594291442,119,5
"120",119,120,15.5733994894125,120,5
"121",120,121,16.0163286666634,121,5
"122",121,122,16.370535170884,122,5
"123",122,123,16.5463974035811,123,5
"124",123,124,16.5598545323403,124,5
"125",124,125,16.4532359162668,125,5
"126",125,126,16.2688709144658,126,5
"127",126,127,16.04528229219,127,5
"128",127,128,15.805766439283,128,5
"129",128,129,15.5698131517361,129,5
"130",129,130,15.3574951938775,130,5
"131",130,131,15.1912172033841,131,5
"132",131,132,15.0939667862697,132,5
"133",132,133,15.0853849452833,133,5
"134",133,134,15.1717262701142,134,5
"135",134,135,15.355898747187,135,5
"136",135,136,15.640810362926,136,5
"137",136,137,16.0126692592191,137,5
"138",137,138,16.3908841998078,138,5
"139",138,139,16.6781641038967,139,5
