"","x","Index","y","Index2"
"1",0,1,8.67386927196213,1
"2",1,2,8.35534315342587,2
"3",2,3,8.03497626868938,3
"4",3,4,7.72359876960919,4
"5",4,5,7.4395517347542,5
"6",5,6,7.23121994954294,6
"7",6,7,7.15449912610633,7
"8",7,8,7.2453328934413,8
"9",8,9,7.45985654800866,9
"10",9,10,7.73425330313525,10
"11",10,11,8.00470637214789,11
"12",11,12,8.21990418969549,12
"13",12,13,8.37855607571537,13
"14",13,14,8.49187657146694,14
"15",14,15,8.57468761869694,15
"16",15,16,8.65624076110141,16
"17",16,17,8.76939494286373,17
"18",17,18,8.93553580792316,18
"19",18,19,9.13015579924252,19
"20",19,20,9.31727405954051,20
"21",20,21,9.46090973153585,21
"22",21,22,9.53031621259992,22
"23",22,23,9.51568391871479,23
"24",23,24,9.41243752051522,24
"25",24,25,9.22174993327185,25
"26",25,26,8.96778705079904,26
"27",26,27,8.68046301154702,27
"28",27,28,8.38969195396606,28
"29",28,29,8.12665723781735,29
"30",29,30,7.92761910810598,30
"31",30,31,7.83010703114794,31
"32",31,32,7.86315199559968,32
"33",32,33,8.02179107947928,33
"34",33,34,8.29256288314524,34
"35",34,35,8.65571624598593,35
"36",35,36,9.06634096350931,36
"37",36,37,9.47323707025319,37
"38",37,38,9.8252046007554,38
"39",38,39,10.0847547515834,39
"40",39,40,10.2692433674233,40
"41",40,41,10.4097374549906,41
"42",41,42,10.5309612448397,42
"43",42,43,10.6322678628785,43
"44",43,44,10.7066676588536,44
"45",44,45,10.7544811475813,45
"46",45,46,10.8052695041566,46
"47",46,47,10.8959040687446,47
"48",47,48,11.0632561815099,48
"49",48,49,11.3315126689071,49
"50",49,50,11.6741223025488,50
"51",50,51,12.0518493403371,51
"52",51,52,12.4255965292832,52
"53",52,53,12.7568205728336,53
"54",53,54,13.0071166635437,54
"55",54,55,13.1380799939687,55
"56",55,56,13.123068083729,56
"57",56,57,12.9824877607041,57
"58",57,58,12.7485081798387,58
"59",58,59,12.4521197469234,59
"60",59,60,12.1195978711341,60
"61",60,61,11.7760392124932,61
"62",61,62,11.4475661566447,62
"63",62,63,11.1644039917207,63
"64",63,64,10.9578037314753,64
