"","x","Index","y","Index2"
"1",0,1,14.7003941789516,1
"2",1,2,13.6074504769941,2
"3",2,3,12.486304930364,3
"4",3,4,11.3756199527254,4
"5",4,5,10.3207735926694,5
"6",5,6,9.39400643849572,6
"7",6,7,8.67427471343165,7
"8",7,8,8.21587628171982,8
"9",8,9,7.97447557166515,9
"10",9,10,7.8810786525881,10
"11",10,11,7.86669159380913,11
"12",11,12,7.88447623237723,12
"13",12,13,7.97621747625539,13
"14",13,14,8.2058560011351,14
"15",14,15,8.60003135549329,15
"16",15,16,9.03617857894856,16
"17",16,17,9.35443158390493,17
"18",17,18,9.43233394196287,18
"19",18,19,9.29706786150862,19
"20",19,20,9.01322521012488,20
"21",20,21,8.64539785539431,21
"22",21,22,8.25113985044386,22
"23",22,23,7.85985399057745,23
"24",23,24,7.49390525664326,24
"25",24,25,7.18658271802573,25
"26",25,26,7.01487179825431,26
"27",26,27,7.06668200939473,27
"28",27,28,7.42992286351269,28
"29",28,29,8.15050148939411,29
"30",29,30,9.10631548270564,30
"31",30,31,10.1332600558341,31
"32",31,32,11.0776022864989,32
"33",32,33,11.8270967137492,33
"34",33,34,12.2798697419667,34
"35",34,35,12.3677526563953,35
"36",35,36,12.1573962657259,36
"37",36,37,11.7491562595118,37
"38",37,38,11.2433883273059,38
"39",38,39,10.7243596316917,39
"40",39,40,10.2119832273743,40
"41",40,41,9.71008364208889,41
"42",41,42,9.23891185809778,42
"43",42,43,8.88442467577002,43
"44",43,44,8.74900535000151,44
"45",44,45,8.91124533726701,45
"46",45,46,9.35456890035695,46
"47",46,47,10.0386085036407,47
"48",47,48,10.9229966114875,48
"49",48,49,11.9524832368995,49
"50",49,50,13.0122885874095,50
"51",50,51,13.9727504191829,51
"52",51,52,14.7265116055074,52
"53",52,53,15.2554354881589,53
"54",53,54,15.5636905260353,54
"55",54,55,15.6554451780345,55
"56",55,56,15.5438315210623,56
"57",56,57,15.2778361040562,57
"58",57,58,14.9154090939616,58
"59",58,59,14.5143335848901,59
"60",59,60,14.1317243796183,60
"61",60,61,13.8245292080887,61
"62",61,62,13.6406154149799,62
"63",62,63,13.5915288039127,63
"64",63,64,13.679734793244,64
"65",64,65,13.9076988013301,65
"66",65,66,14.2736862038783,66
"67",66,67,14.7591622059972,67
"68",67,68,15.3413919701458,68
"69",68,69,15.9812501813447,69
"70",69,70,16.5740496148607,70
"71",70,71,16.998712568522,71
"72",71,72,17.162174571458,72
"73",72,73,17.0834240780028,73
"74",73,74,16.8094627737914,74
"75",74,75,16.3872923444591,75
"76",75,76,15.867340734754,76
"77",76,77,15.3137409258759,77
"78",77,78,14.7940521581375,78
"79",78,79,14.3725350862638,79
"80",79,80,14.1002560226279,80
"81",80,81,14.0249826940152,81
"82",81,82,14.194482827211,82
"83",82,83,14.634081972284,83
"84",83,84,15.2793369724369,84
"85",84,85,16.0433624941558,85
"86",85,86,16.8405088173812,86
"87",86,87,17.5900686758723,87
"88",87,88,18.2125704168426,88
"89",88,89,18.6508265702411,89
"90",89,90,18.9367863969582,90
"91",90,91,19.1246833406194,91
"92",91,92,19.2687508448506,92
"93",92,93,19.4038304417096,93
"94",93,94,19.4871960169833,94
"95",94,95,19.456729544891,95
"96",95,96,19.2720666327705,96
"97",96,97,18.9798574204345,97
"98",97,98,18.6485056808146,98
"99",98,99,18.3464151868421,99
"100",99,100,18.1335491749873,100
"101",100,101,18.0361087358757,101
"102",101,102,18.0718544236717,102
"103",102,103,18.2456847172923,103
"104",103,104,18.5110497946651,104
"105",104,105,18.8085377584703,105
"106",105,106,19.0887974437954,106
"107",106,107,19.3427206153554,107
"108",107,108,19.5712597702726,108
"109",108,109,19.7753674056691,109
"110",109,110,19.9576269258942,110
"111",110,111,20.1271453642051,111
"112",111,112,20.2946606610861,112
"113",112,113,20.4704999312526,113
"114",113,114,20.6633469863452,114
"115",114,115,20.881474812236,115
"116",115,116,21.1232404006667,116
"117",116,117,21.3473367668585,117
"118",117,118,21.5025409319026,118
"119",118,119,21.53762991689,119
"120",119,120,21.4204196084453,120
"121",120,121,21.1948813553263,121
"122",121,122,20.9240253718243,122
"123",122,123,20.6671083253418,123
"124",123,124,20.468372695727,124
"125",124,125,20.3683074159392,125
"126",125,126,20.4074014189379,126
"127",126,127,20.6133865978575,127
"128",127,128,20.9629666865325,128
"129",128,129,21.420088378972,129
"130",129,130,21.9429822730778,130
"131",130,131,22.4670145823213,131
"132",131,132,22.9218354240662,132
"133",132,133,23.2487970896847,133
"134",133,134,23.4360605665821,134
"135",134,135,23.4834890161721,135
"136",135,136,23.3909455998685,136
"137",136,137,23.1722152691393,137
"138",137,138,22.8967701356704,138
"139",138,139,22.6480041012018,139
"140",139,140,22.4941054604209,140
"141",140,141,22.4424400798035,141
"142",141,142,22.4851682187725,142
"143",142,143,22.612487284584,143
"144",143,144,22.8067432758271,144
"145",144,145,23.0483193389243,145
"146",145,146,23.3175986202979,146
"147",146,147,23.5994701336291,147
"148",147,148,23.8968463616351,148
"149",148,149,24.2171456542921,149
"150",149,150,24.562403591334,150
"151",150,151,24.9131246715261,151
"152",151,152,25.2444306233919,152
"153",152,153,25.5314431754546,153
"154",153,154,25.7555119251577,154
"155",154,155,25.9228979456264,155
"156",155,156,26.046090178906,156
"157",156,157,26.1335601848248,157
"158",157,158,26.1777099943423,158
"159",158,159,26.1669242562011,159
"160",159,160,26.0930111038457,160
"161",160,161,25.9614726095287,161
"162",161,162,25.781234330205,162
"163",162,163,25.5612218228292,163
"164",163,164,25.3177713703508,164
"165",164,165,25.0968621596974,165
"166",165,166,24.9518841037913,166
"167",166,167,24.9192607268158,167
"168",167,168,24.9675499979973,168
"169",168,169,25.0483434978233,169
"170",169,170,25.1249967588429,170
"171",170,171,25.2079211218506,171
"172",171,172,25.3192918797026,172
"173",172,173,25.4812843252547,173
"174",173,174,25.7027715638594,174
"175",174,175,25.9394179508547,175
"176",175,176,26.1335856540748,176
"177",176,177,26.2401897638983,177
"178",177,178,26.264357060881,178
"179",178,179,26.223767248123,179
"180",179,180,26.1361000287244,180
